,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,83446045,"Statebridge Company, LLC",1973CV00995,Real Property,Open,20191024,20191024
1,84065919,"Statebridge Company, LLC",19 SM 005306,Servicemembers,Open,20191031,20191031
2,84083939,"Statebridge Company, LLC",1973CV00457,Real Property,Open,20190517,20190517
3,84420262,"Statebridge Company, LLC",1981CV02958,Contract / Business Cases,Open,20191007,20191007
4,85078922,"Statebridge Company, LLC",1881CV00441,Real Property,Open,20180215,20180215
5,85576849,"Statebridge Company, LLC",1885CV00084,Real Property,Open,20180118,20180118
6,87666941,"Statebridge Company, LLC",1885CV01990,Real Property,Open,20181227,20181227
7,88999984,"Statebridge Company, LLC",17 SM 006537,Servicemembers,Closed,20170802,20210426
8,87723711,Statebridge Company LLC,1884CV00599,Real Property,Open,20180220,20180220
