,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,2089783,"M & T Bank, Successor by Merger to M&T Credit Services, LLC",1210SP000100,Supplementary Process,Disposed (Statistical Purposes),20120305,20120524
1,2563177,"Sacor Financial Inc., as assignee of Columbia Credit Services, INC.",1449CV000591,Civil,Disposed (Statistical Purposes),20140922,20150205
2,9227165,"Sacor Financial Inc., as assignee of Columbia Credit Services, INC.",1435CV000092,Civil,Pending,20140925,20140925
3,48143638,"Sacor Financial Inc., as assignee of Columbia Credit Services, INC.",1515CV000334,Civil,Disposed (Statistical Purposes),20150326,20160113
4,2866268,Sacor Financial Inc. as Assignee of Columbia Credit Services,1249CV000627,Civil,Disposed (Statistical Purposes),20120904,20121115
5,6811791,Sacor Financial Inc. as Assignee of Columbia Credit Services,1262CV001511,Civil,Disposed (Statistical Purposes),20120824,20140505
6,52834108,Sacor Financial Inc. as Assignee of Columbia Credit Services,1415CV000388,Civil,Disposed (Statistical Purposes),20140226,20151127
7,62812364,Sacor Financial Inc. as Assignee of Columbia Credit Services,1311CV001141,Civil,Disposed (Statistical Purposes),20130812,20140723
8,4420167,"Sacor Financial Inc. a/a/o Columbia Credit Services, Inc. As assignee for Hilco Receivables",1452CV000589,Civil,Pending,20140912,20140912
9,4605529,"PSB Credit Services, Inc.",1181CV01655,Real Property,Closed,20110513,20110721
10,5015730,Sacor Financial Inc A/A/O Columbia Credit Services Inc,1356CV001349,Civil,Disposed (Statistical Purposes),20130819,20131105
11,5026774,Sacor Financial Inc a/a/o Columbia Credit Services Inc as Assignee of Hilco Receivables,1452SP000193,Supplementary Process,Disposed (Statistical Purposes),20141231,20150224
12,5522087,"Columbia Credit Services, Inc.",1312SP000079,Supplementary Process,Pending,20130711,20130711
13,10783168,"Columbia Credit Services, Inc.",1415CV000080,Civil,Disposed (Statistical Purposes),20140117,20140521
14,15945379,"Columbia Credit Services, Inc.",1423CV001658,Civil,Disposed (Statistical Purposes),20140826,20150817
15,19790679,"Columbia Credit Services, Inc.",0708CV000315,Civil,Disposed (Statistical Purposes),20071026,20080128
16,20116417,"Columbia Credit Services, Inc.",0707CV001172,Civil,Disposed (Statistical Purposes),20071019,20080104
17,20147672,"Columbia Credit Services, Inc.",0607CV000585,Civil,Disposed (Statistical Purposes),20060613,20061205
18,20150517,"Columbia Credit Services, Inc.",0607CV000586,Civil,Disposed (Statistical Purposes),20060613,20061205
19,20153375,"Columbia Credit Services, Inc.",0607CV000548,Civil,Disposed (Statistical Purposes),20060605,20060925
20,20230479,"Columbia Credit Services, Inc.",0548CV000200,Civil,Disposed (Statistical Purposes),20050523,20050708
21,20235410,"Columbia Credit Services, Inc.",0548CV000201,Civil,Disposed (Statistical Purposes),20050523,20060915
22,20327331,"Columbia Credit Services, Inc.",0525CV000339,Civil,Disposed (Statistical Purposes),20050419,20050614
23,20463289,"Columbia Credit Services, Inc.",0602CV000270,Civil,Disposed (Statistical Purposes),20060613,20060913
24,20609099,"Columbia Credit Services, Inc.",0515CV000718,Civil,Disposed (Statistical Purposes),20050428,20050614
25,20612714,"Columbia Credit Services, Inc.",0515CV000659,Civil,Disposed (Statistical Purposes),20050421,20050607
26,20624174,"Columbia Credit Services, Inc.",0515CV000484,Civil,Disposed (Statistical Purposes),20050328,20050511
27,20717877,"Columbia Credit Services, Inc.",0534SP000271,Supplementary Process,Disposed (Statistical Purposes),20051205,20060202
28,20735884,"Columbia Credit Services, Inc.",0534CV000833,Civil,Disposed (Statistical Purposes),20051227,20060227
29,20931190,"Columbia Credit Services, Inc.",0515CV001170,Civil,Disposed (Statistical Purposes),20050701,20050720
30,20949181,"Columbia Credit Services, Inc.",0515SP000341,Supplementary Process,Disposed (Statistical Purposes),20050711,20061121
31,21000902,"Columbia Credit Services, Inc.",0552CV000159,Civil,Disposed (Statistical Purposes),20050223,20050502
32,21446345,"Columbia Credit Services, Inc.",0648CV000223,Civil,Disposed (Statistical Purposes),20060613,20060822
33,21449493,"Columbia Credit Services, Inc.",0648CV000222,Civil,Disposed (Statistical Purposes),20060613,20070222
34,21582616,"Columbia Credit Services, Inc.",0520CV000418,Civil,Disposed (Statistical Purposes),20050620,20050822
35,21734010,"Columbia Credit Services, Inc.",0668CV000247,Civil,Disposed (Statistical Purposes),20060613,20060825
36,21780889,"Columbia Credit Services, Inc.",0707CV000795,Civil,Disposed (Statistical Purposes),20070718,20071127
37,21790198,"Columbia Credit Services, Inc.",0554CV000355,Civil,Disposed (Statistical Purposes),20050411,20050919
38,21848377,"Columbia Credit Services, Inc.",0516CV000081,Civil,Disposed (Statistical Purposes),20050225,20050620
39,22091341,"Columbia Credit Services, Inc.",0515SP000412,Supplementary Process,Disposed (Statistical Purposes),20050906,20051021
40,22103052,"Columbia Credit Services, Inc.",0515SP000437,Supplementary Process,Disposed (Statistical Purposes),20050912,20051027
41,22133110,"Columbia Credit Services, Inc.",0564CV000096,Civil,Disposed (Statistical Purposes),20050223,20050415
42,22149868,"Columbia Credit Services, Inc.",0534SP000120,Supplementary Process,Disposed (Statistical Purposes),20050613,20050811
43,22199405,"Columbia Credit Services, Inc.",0552SP000123,Supplementary Process,Disposed (Statistical Purposes),20050531,20050701
44,22224642,"Columbia Credit Services, Inc.",0552CV000560,Civil,Disposed (Statistical Purposes),20050606,20050718
45,22456925,"Columbia Credit Services, Inc.",1548SP000114,Supplementary Process,Disposed (Statistical Purposes),20150825,20151217
46,22550413,"Columbia Credit Services, Inc.",0906CV000399,Civil,Disposed (Statistical Purposes),20090319,20090921
47,22631592,"Columbia Credit Services, Inc.",1548SP000124,Supplementary Process,Pending,20150921,20150921
48,22688284,"Columbia Credit Services, Inc.",0552SP000215,Supplementary Process,Disposed (Statistical Purposes),20050906,20051014
49,22996296,"Columbia Credit Services, Inc.",0563CV000127,Civil,Disposed (Statistical Purposes),20050613,20050804
0,23019000,"Columbia Credit Services, Inc.",0539CV000167,Civil,Disposed (Statistical Purposes),20050606,20051115
1,23185664,"Columbia Credit Services, Inc.",0906CV000699,Civil,Disposed (Statistical Purposes),20090615,20090812
2,23350572,"Columbia Credit Services, Inc.",0518CV000179,Civil,Disposed (Statistical Purposes),20050223,20050601
3,23640889,"Columbia Credit Services, Inc.",0538CV000232,Civil,Disposed (Statistical Purposes),20050502,20050628
4,23746251,"Columbia Credit Services, Inc.",0652CV000638,Civil,Disposed (Statistical Purposes),20060613,20060807
5,23957949,"Columbia Credit Services, Inc.",0558CV000240,Civil,Disposed (Statistical Purposes),20050509,20050720
6,23965259,"Columbia Credit Services, Inc.",0558CV000308,Civil,Disposed (Statistical Purposes),20050606,20050720
7,24119309,"Columbia Credit Services, Inc.",0698CV000047,Civil,Disposed (Statistical Purposes),20060221,20060414
8,24132636,"Columbia Credit Services, Inc.",0614CV000441,Civil,Disposed (Statistical Purposes),20060612,20060919
9,24162439,"Columbia Credit Services, Inc.",0614CV000442,Civil,Disposed (Statistical Purposes),20060606,20060919
10,24377807,"Columbia Credit Services, Inc.",0518CV000363,Civil,Disposed (Statistical Purposes),20050411,20051028
11,24488022,"Columbia Credit Services, Inc.",0518CV000463,Civil,Disposed (Statistical Purposes),20050503,20060213
12,24498274,"Columbia Credit Services, Inc.",1532CV000989,Civil,Disposed (Statistical Purposes),20151209,20160223
13,24528111,"Columbia Credit Services, Inc.",0532SP000371,Supplementary Process,Disposed (Statistical Purposes),20050912,20140305
14,24625163,"Columbia Credit Services, Inc.",0518SP000272,Supplementary Process,Disposed (Statistical Purposes),20050627,20051109
15,24948382,"Columbia Credit Services, Inc.",0511CV000868,Civil,Disposed (Statistical Purposes),20050509,20060815
16,24954247,"Columbia Credit Services, Inc.",0511CV000804,Civil,Disposed (Statistical Purposes),20050502,20050729
17,25774841,"Columbia Credit Services, Inc.",0732CV001742,Civil,Disposed (Statistical Purposes),20071017,20080104
18,25825502,"Columbia Credit Services, Inc.",0632CV000704,Civil,Disposed (Statistical Purposes),20060615,20061102
19,25839935,"Columbia Credit Services, Inc.",0632CV000705,Civil,Disposed (Statistical Purposes),20060615,20060821
20,26013524,"Columbia Credit Services, Inc.",0617SP000005,Supplementary Process,Disposed (Statistical Purposes),20060118,20060404
21,26050428,"Columbia Credit Services, Inc.",0566CV000187,Civil,Disposed (Statistical Purposes),20050502,20050621
22,26092172,"Columbia Credit Services, Inc.",0969CV000215,Civil,Disposed (Statistical Purposes),20090316,20090505
23,26104818,"Columbia Credit Services, Inc.",0969CV000219,Civil,Disposed (Statistical Purposes),20090318,20090508
24,26129761,"Columbia Credit Services, Inc.",0588CV000027,Civil,Disposed (Statistical Purposes),20050405,20050724
25,26578920,"Columbia Credit Services, Inc.",0649CV000520,Civil,Disposed (Statistical Purposes),20060607,20060918
26,26615832,"Columbia Credit Services, Inc.",0512CV000155,Civil,Disposed (Statistical Purposes),20050419,20050620
27,26629582,"Columbia Credit Services, Inc.",0649CV000543,Civil,Disposed (Statistical Purposes),20060613,20060918
28,26638321,"Columbia Credit Services, Inc.",0512CV000259,Civil,Disposed (Statistical Purposes),20050627,20050829
29,26661292,"Columbia Credit Services, Inc.",0545CV000150,Civil,Disposed (Statistical Purposes),20050411,20050523
30,26661517,"Columbia Credit Services, Inc.",0545CV000153,Civil,Disposed (Statistical Purposes),20050411,20050503
31,26662129,"Columbia Credit Services, Inc.",0545CV000152,Civil,Disposed (Statistical Purposes),20050411,20050523
32,26707127,"Columbia Credit Services, Inc.",0663CV000148,Civil,Disposed (Statistical Purposes),20060613,20060912
33,26711641,"Columbia Credit Services, Inc.",0545CV000188,Civil,Disposed (Statistical Purposes),20050502,20050621
34,26714523,"Columbia Credit Services, Inc.",0545CV000254,Civil,Disposed (Statistical Purposes),20050607,20050725
35,26756135,"Columbia Credit Services, Inc.",0545CV000297,Civil,Disposed (Statistical Purposes),20050627,20050907
36,26929795,"Columbia Credit Services, Inc.",1669SP000001,Supplementary Process,Pending,20160111,20160111
37,27197499,"Columbia Credit Services, Inc.",0545CV000098,Civil,Disposed (Statistical Purposes),20050310,20050531
38,27348063,"Columbia Credit Services, Inc.",0543CV000206,Civil,Disposed (Statistical Purposes),20050523,20050714
39,27631232,"Columbia Credit Services, Inc.",0586CV000303,Civil,Disposed (Statistical Purposes),20050606,20050908
40,28046855,"Columbia Credit Services, Inc.",0527CV000168,Civil,Disposed (Statistical Purposes),20050411,20050531
41,28051553,"Columbia Credit Services, Inc.",0638CV000358,Civil,Disposed (Statistical Purposes),20060613,20060828
42,28072463,"Columbia Credit Services, Inc.",0638CV000357,Civil,Disposed (Statistical Purposes),20060613,20060828
43,28191767,"Columbia Credit Services, Inc.",0527CV000255,Civil,Disposed (Statistical Purposes),20050524,20050718
44,28205391,"Columbia Credit Services, Inc.",0527CV000256,Civil,Disposed (Statistical Purposes),20050524,20050706
45,28214368,"Columbia Credit Services, Inc.",0569SP000138,Supplementary Process,Disposed (Statistical Purposes),20051107,20060124
46,28298075,"Columbia Credit Services, Inc.",0559CV000251,Civil,Disposed (Statistical Purposes),20050405,20050630
47,28411566,"Columbia Credit Services, Inc.",0559CV000288,Civil,Disposed (Statistical Purposes),20050419,20050818
48,28492457,"Columbia Credit Services, Inc.",0640CV000069,Civil,Disposed (Statistical Purposes),20060711,20061003
49,28562918,"Columbia Credit Services, Inc.",0559CV000388,Civil,Disposed (Statistical Purposes),20050523,20050726
0,28569300,"Columbia Credit Services, Inc.",0632SP000574,Supplementary Process,Disposed (Statistical Purposes),20061110,20070314
1,28666120,"Columbia Credit Services, Inc.",0658CV000371,Civil,Disposed (Statistical Purposes),20060607,20060824
2,28861486,"Columbia Credit Services, Inc.",0617CV000166,Civil,Disposed (Statistical Purposes),20060613,20060720
3,28891101,"Columbia Credit Services, Inc.",0964CV000639,Civil,Disposed (Statistical Purposes),20090615,20090911
4,28910500,"Columbia Credit Services, Inc.",0640CV000057,Civil,Disposed (Statistical Purposes),20060613,20060824
5,28972251,"Columbia Credit Services, Inc.",0714CV000815,Civil,Disposed (Statistical Purposes),20070814,20080104
6,29079839,"Columbia Credit Services, Inc.",0536CV000455,Civil,Disposed (Statistical Purposes),20050502,20050720
7,29099617,"Columbia Credit Services, Inc.",0517CV000264,Civil,Disposed (Statistical Purposes),20050906,20051115
8,29224077,"Columbia Credit Services, Inc.",0618CV000768,Civil,Disposed (Statistical Purposes),20060613,20061011
9,29224499,"Columbia Credit Services, Inc.",0618CV000767,Civil,Disposed (Statistical Purposes),20060613,20060912
10,29225454,"Columbia Credit Services, Inc.",0618CV000766,Civil,Disposed (Statistical Purposes),20060613,20061011
11,29276898,"Columbia Credit Services, Inc.",0518SP000282,Supplementary Process,Disposed (Statistical Purposes),20050705,20051109
12,29315402,"Columbia Credit Services, Inc.",0532SP000487,Supplementary Process,Disposed (Statistical Purposes),20051206,20060321
13,29318452,"Columbia Credit Services, Inc.",0532SP000528,Supplementary Process,Disposed (Statistical Purposes),20051230,20060321
