,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,10869591,US Bank National Association as Trustee for RFMSI 2007S6,1352SU000689,Summary Process,Disposed (Statistical Purposes),20131125,20131206
1,11983586,U.S.Bank National Assoc. Trust For Rfmsi Us Banc,1125SU001016,Summary Process,Disposed (Statistical Purposes),20110725,20110805
2,17860702,Fms Asset Management Llp,1006CV000079,Civil,Pending,20100129,20100129
3,58020779,Fms Asset Management Llp,0956CV003623,Civil,Disposed (Statistical Purposes),20091116,20100119
4,19215411,"FMS Asset Management, LLp",1106SP000543,Supplementary Process,Disposed (Statistical Purposes),20110916,20120531
5,20163772,"Fms, Inc., Formerly Sunoco",0707CV001036,Civil,Disposed (Statistical Purposes),20070914,20080201
6,20525948,"Fms, Inc.",0802CV000733,Civil,Pending,20080825,20080825
7,28596678,"Fms, Inc.",0718SP000749,Supplementary Process,Disposed (Statistical Purposes),20071031,20080115
8,32164440,"Fms, Inc.",0518CV002119,Civil,Disposed (Statistical Purposes),20051222,20060228
9,67712247,"Fms, Inc.",0701CV002542,Civil,Closed,20070525,20071121
10,20881910,"Fms Asset Management, Llc",0706SP000200,Supplementary Process,Disposed (Statistical Purposes),20070326,20070509
11,21590222,"Fms Asset Management, Llc",0520CV000242,Civil,Disposed (Statistical Purposes),20050413,20050726
12,21892374,"Fms Asset Management, Llc",0549CV000128,Civil,Disposed (Statistical Purposes),20050217,20050915
13,22713734,"Fms Asset Management, Llc",0552SP000204,Supplementary Process,Disposed (Statistical Purposes),20050829,20050930
14,22746568,"Fms Asset Management, Llc",0552SP000219,Supplementary Process,Disposed (Statistical Purposes),20050912,20060407
15,33799642,"Fms Asset Management, Llc",0562CV000004,Civil,Disposed (Statistical Purposes),20050103,20050916
16,45557644,"Fms Asset Management, Llc",0532CV000426,Civil,Disposed (Statistical Purposes),20050421,20060712
17,45682676,"Fms Asset Management, Llc",0552CV000176,Civil,Disposed (Statistical Purposes),20050225,20050608
18,51228126,"Fms Asset Management, Llc",0656SP000074,Supplementary Process,Disposed (Statistical Purposes),20060202,20060320
19,51252065,"Fms Asset Management, Llc",0515CV000046,Civil,Disposed (Statistical Purposes),20050111,20050726
20,55690596,"Fms Asset Management, Llc",0662CV000923,Civil,Disposed (Statistical Purposes),20060425,20061205
21,58028047,"Fms Asset Management, Llc",0562CV000291,Civil,Disposed (Statistical Purposes),20050217,20050427
22,76745984,"Fms Asset Management, Llc",0501CV002167,Civil,Closed,20050601,20050601
23,21619605,"Fms.Asset Management,Llc",0520SP000193,Supplementary Process,Disposed (Statistical Purposes),20051209,20060130
24,23039807,"Fay, Macrae & Snow, Inc., Dba Fms Light",0615CV002018,Civil,Disposed (Statistical Purposes),20060914,20070622
25,23898273,"Fms Asset Management, Inc.",0752CV000037,Civil,Disposed (Statistical Purposes),20070109,20080729
26,24526020,Fms Asset Management Llc,0513CV000207,Civil,Disposed (Statistical Purposes),20050224,20050722
27,33009592,Fms Asset Management Llc,0553CV000357,Civil,Disposed (Statistical Purposes),20050411,20050923
28,38467231,Fms Asset Management Llc,0557SP000181,Supplementary Process,Disposed (Statistical Purposes),20050909,20060202
29,58984650,Fms Asset Management Llc,0656CV003162,Civil,Disposed (Statistical Purposes),20061218,20070621
30,24628662,Fms Inc,0550CV000106,Civil,Disposed (Statistical Purposes),20050127,20051102
31,50649602,Fms Inc,0756CV002263,Civil,Disposed (Statistical Purposes),20070906,20080129
32,26660532,"Fms, Asset Management, Llc",0545CV000154,Civil,Disposed (Statistical Purposes),20050411,20060307
33,28806939,"Fms, Asset Management, Llc",0556CV000777,Civil,Disposed (Statistical Purposes),20050411,20050826
34,33581607,"Fms, Asset Management, Llc",0643SP000138,Supplementary Process,Disposed (Statistical Purposes),20060629,20060906
35,34174996,"Fms, Asset Management, Llc",0557CV000058,Civil,Disposed (Statistical Purposes),20050127,20050707
36,76746681,"Fms, Asset Management, Llc",0501CV002168,Civil,Closed,20050601,20050722
37,37234820,"Fms, Inc. F0rmerly Sunoco",0760CV000857,Civil,Disposed (Statistical Purposes),20071015,20080116
38,43509917,Fms Cycles,0857SC001060,Small Claims,Disposed (Statistical Purposes),20080811,20080919
39,45694216,"Fms, Assset Management, Llc",0543CV000356,Civil,Disposed (Statistical Purposes),20050908,20060505
40,48730851,Centerview Condominium Trust and FMS Realty Trust,1666SC000184,Small Claims,Pending,20160414,20160414
41,62401856,U.S. Bank National Association as Trustee RFMSI 2006S6.,09 MISC 412237,Servicemembers,Open,20090921,20110927
42,62943956,Fms Inc.,0556SP000696,Supplementary Process,Disposed (Statistical Purposes),20051004,20060103
43,70285454,"Fms Asset Management, Llc,",0501CV000649,Civil,Closed,20050217,20050217
44,70455687,"Fms Asset Managemen, Llc,",0501CV004198,Civil,Closed,20051017,20051221
45,88043347,"Franklin Motor Sales, Inc./FMS Cycles",1757SC000391,Small Claims,Disposed (Statistical Purposes),20170504,20170811
