,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,21080432,"National Loan Recoveries Dept. M, Llc.",0554CV000109,Civil,Disposed (Statistical Purposes),20050207,20050707
1,21081148,"National Loan Recoveries Dept. M, Llc.",0554CV000110,Civil,Disposed (Statistical Purposes),20050207,20050707
2,27776241,National Loan Recoveries Dept M Llc,0563SP000060,Supplementary Process,Disposed (Statistical Purposes),20050909,20050909
3,29096461,National Loan Recoveries Dept. M.A. Connecticut Li,0536SP000099,Supplementary Process,Disposed (Statistical Purposes),20050505,20061018
4,30816657,"National Loan Recoveries-Dept, M, Llc",0523CV000532,Civil,Disposed (Statistical Purposes),20050307,20050720
5,45591769,"National Loan Recoveries-Dept. M, Llc",0531CV000162,Civil,Disposed (Statistical Purposes),20050223,20050826
