,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,40869156,"PennyMac Loan Services, LLC",16 SM 002917,Servicemembers,Open,20160321,20160321
1,41769835,"PennyMac Loan Services, LLC",15 SM 004715,Servicemembers,Open,20150608,20150608
2,48415652,"PennyMac Loan Services, LLC",16 SM 002893,Servicemembers,Open,20160321,20160321
3,48713869,"PennyMac Loan Services, LLC",16 SM 003398,Servicemembers,Open,20160401,20160401
4,52100893,"PennyMac Loan Services, LLC",10 MISC 433641,Servicemembers,Closed,20100707,20101026
5,52291165,"PennyMac Loan Services, LLC",16 SM 003033,Servicemembers,Open,20160323,20160323
6,52367918,"PennyMac Loan Services, LLC",16 SM 003275,Servicemembers,Open,20160330,20160330
7,52375057,"PennyMac Loan Services, LLC",16 SM 003321,Servicemembers,Open,20160331,20160331
8,53039716,"PennyMac Loan Services, LLC",15 SM 010698,Servicemembers,Closed,20151203,20160302
9,53196378,"PennyMac Loan Services, LLC",15 SM 011327,Servicemembers,Closed,20151218,20160504
10,53294006,"PennyMac Loan Services, LLC",15 SM 011622,Servicemembers,Open,20151228,20151228
11,55530847,"PennyMac Loan Services, LLC",16 SM 000858,Servicemembers,Open,20160128,20160128
12,55927695,"PennyMac Loan Services, LLC",16 SM 000084,Servicemembers,Closed,20160105,20160408
13,56332987,"PennyMac Loan Services, LLC",16 SM 002204,Servicemembers,Open,20160301,20160301
14,56427082,"PennyMac Loan Services, LLC",16 SM 000976,Servicemembers,Closed,20160202,20160823
15,56475166,"PennyMac Loan Services, LLC",16 SM 003593,Servicemembers,Closed,20160406,20160923
16,56495806,"PennyMac Loan Services, LLC",16 SM 003563,Servicemembers,Closed,20160406,20160915
17,56714794,"PennyMac Loan Services, LLC",16 SM 002319,Servicemembers,Open,20160303,20160303
18,56778300,"PennyMac Loan Services, LLC",16 SM 000750,Servicemembers,Closed,20160122,20160523
19,57329902,"PennyMac Loan Services, LLC",10 MISC 423342,Servicemembers,Open,20100224,20100224
20,57351515,"PennyMac Loan Services, LLC",14 MISC 482971,Servicemembers,Closed,20140415,20140716
21,57686556,"PennyMac Loan Services, LLC",15 SM 001586,Servicemembers,Closed,20150305,20150812
22,58419412,"PennyMac Loan Services, LLC",15 SM 002570,Servicemembers,Closed,20150331,20161024
23,59150413,"PennyMac Loan Services, LLC",16 SM 004752,Servicemembers,Open,20160506,20160506
24,59227676,"PennyMac Loan Services, LLC",16 SM 000365,Servicemembers,Closed,20160112,20160512
25,59312503,"PennyMac Loan Services, LLC",16 SM 002671,Servicemembers,Open,20160314,20160314
26,59329613,"PennyMac Loan Services, LLC",16 SM 002699,Servicemembers,Open,20160315,20160315
27,59386002,"PennyMac Loan Services, LLC",16 SM 002799,Servicemembers,Closed,20160316,20160914
28,59417438,"PennyMac Loan Services, LLC",16 SM 003899,Servicemembers,Open,20160414,20160414
29,59438347,"PennyMac Loan Services, LLC",16 SM 003904,Servicemembers,Open,20160414,20160414
30,60191679,"PennyMac Loan Services, LLC",16 SM 001289,Servicemembers,Closed,20160210,20160610
31,60346065,"PennyMac Loan Services, LLC",10 MISC 431854,Servicemembers,Closed,20100611,20161118
32,60578433,"PennyMac Loan Services, LLC",16 SM 001724,Servicemembers,Open,20160219,20160219
33,60780706,"PennyMac Loan Services, LLC",16 SM 006222,Servicemembers,Open,20160617,20160617
34,60843050,"PennyMac Loan Services, LLC",16 SM 006670,Servicemembers,Open,20160701,20160701
35,60913942,"PennyMac Loan Services, LLC",16 SM 006685,Servicemembers,Open,20160701,20160701
36,60921691,"PennyMac Loan Services, LLC",16 SM 006680,Servicemembers,Open,20160701,20160701
37,62006128,"PennyMac Loan Services, LLC",10 MISC 424226,Servicemembers,Closed,20100308,20100615
38,62428551,"PennyMac Loan Services, LLC",10 MISC 437894,Servicemembers,Closed,20100824,20161118
39,62601354,"PennyMac Loan Services, LLC",16 SM 004330,Servicemembers,Open,20160427,20160427
40,62602194,"PennyMac Loan Services, LLC",16 SM 004329,Servicemembers,Open,20160427,20160427
41,63081919,"PennyMac Loan Services, LLC",1679CV00229,Equitable Remedies,Open,20160330,20160330
42,63421739,"PennyMac Loan Services, LLC",16 SM 000823,Servicemembers,Closed,20160127,20160607
43,64834752,"PennyMac Loan Services, LLC",16 SM 010703,Servicemembers,Open,20161104,20161104
44,65006681,"PennyMac Loan Services, LLC",16 SM 010529,Servicemembers,Open,20161101,20161101
45,65123428,"PennyMac Loan Services, LLC",16 SM 010459,Servicemembers,Open,20161028,20161028
46,65161499,"PennyMac Loan Services, LLC",16 MISC 000685,Miscellaneous,Open,20161110,20161110
47,65649841,"PennyMac Loan Services, LLC",16 SM 008244,Servicemembers,Open,20160818,20160818
48,65664229,"PennyMac Loan Services, LLC",16 SM 008240,Servicemembers,Open,20160818,20160818
49,65674340,"PennyMac Loan Services, LLC",16 SM 008245,Servicemembers,Open,20160818,20160818
0,65690786,"PennyMac Loan Services, LLC",16 SM 009124,Servicemembers,Open,20160920,20160920
1,65698507,"PennyMac Loan Services, LLC",16 SM 008197,Servicemembers,Open,20160817,20160817
2,65769838,"PennyMac Loan Services, LLC",16 MISC 000519,Miscellaneous,Open,20160906,20160906
