,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,10963007,Ditech Financial LLC,1472CV00611,Equitable Remedies,Reopened,20141218,20151022
1,40873452,Ditech Financial LLC,16 SM 002919,Servicemembers,Open,20160321,20160321
2,40880056,Ditech Financial LLC,16 SM 002924,Servicemembers,Open,20160321,20160321
3,41708496,Ditech Financial LLC,15 SM 002768,Servicemembers,Closed,20150406,20151124
4,41833385,Ditech Financial LLC,15 SM 005443,Servicemembers,Closed,20150706,20160104
5,48135504,Ditech Financial LLC,15 SM 010369,Servicemembers,Closed,20151123,20160202
6,48135555,Ditech Financial LLC,15 SM 010371,Servicemembers,Closed,20151123,20160202
7,48135731,Ditech Financial LLC,15 SM 010377,Servicemembers,Closed,20151123,20160203
8,48414858,Ditech Financial LLC,16 SM 002906,Servicemembers,Open,20160321,20160321
9,48415249,Ditech Financial LLC,16 SM 002910,Servicemembers,Open,20160321,20160321
10,48415833,Ditech Financial LLC,16 SM 002901,Servicemembers,Open,20160321,20160321
11,48712595,Ditech Financial LLC,16 SM 003395,Servicemembers,Open,20160401,20160401
12,48899861,Ditech Financial LLC,15 SM 009159,Servicemembers,Closed,20151019,20151221
13,48900105,Ditech Financial LLC,15 SM 009161,Servicemembers,Closed,20151019,20160108
14,50279126,Ditech Financial LLC,14 MISC 484623,Servicemembers,Open,20140703,20140703
15,50379180,Ditech Financial LLC,14 MISC 484693,Servicemembers,Open,20140708,20140708
16,50825090,Ditech Financial LLC,15 SM 000142,Servicemembers,Closed,20150109,20151125
17,50825984,Ditech Financial LLC,15 SM 000143,Servicemembers,Closed,20150109,20151002
18,50911596,Ditech Financial LLC,15 SM 000186,Servicemembers,Open,20150113,20150113
19,51008153,Ditech Financial LLC,15 SM 005214,Servicemembers,Open,20150625,20150625
20,51155568,Ditech Financial LLC,15 SM 005327,Servicemembers,Open,20150701,20150701
21,51165188,Ditech Financial LLC,15 SM 005416,Servicemembers,Closed,20150702,20151001
22,51169057,Ditech Financial LLC,15 SM 005415,Servicemembers,Open,20150702,20150702
23,51173613,Ditech Financial LLC,15 SM 005439,Servicemembers,Open,20150703,20150703
24,51290940,Ditech Financial LLC,15 SM 005484,Servicemembers,Closed,20150707,20151125
25,51297799,Ditech Financial LLC,15 SM 005524,Servicemembers,Open,20150708,20150708
26,51465526,Ditech Financial LLC,14 MISC 487321,Servicemembers,Closed,20141017,20151125
27,51528604,Ditech Financial LLC,15 SM 008641,Servicemembers,Closed,20151005,20151214
28,51534493,Ditech Financial LLC,15 SM 008642,Servicemembers,Closed,20151005,20151216
29,51539060,Ditech Financial LLC,15 SM 008643,Servicemembers,Closed,20151005,20151216
30,51544280,Ditech Financial LLC,15 SM 008681,Servicemembers,Closed,20151006,20151216
31,51546440,Ditech Financial LLC,15 SM 008679,Servicemembers,Closed,20151006,20160506
32,51562139,Ditech Financial LLC,15 SM 008745,Servicemembers,Closed,20151007,20151216
33,51599376,Ditech Financial LLC,15 SM 008817,Servicemembers,Closed,20151008,20151209
34,51602543,Ditech Financial LLC,15 SM 008819,Servicemembers,Closed,20151008,20151211
35,51602836,Ditech Financial LLC,15 SM 008820,Servicemembers,Closed,20151008,20151216
36,51630330,Ditech Financial LLC,15 SM 005612,Servicemembers,Closed,20150710,20160104
37,51665919,Ditech Financial LLC,15 SM 005643,Servicemembers,Closed,20150713,20160202
38,51678050,Ditech Financial LLC,15 SM 005702,Servicemembers,Closed,20150714,20160128
39,51711938,Ditech Financial LLC,15 SM 008893,Servicemembers,Closed,20151009,20151231
40,51725742,Ditech Financial LLC,15 SM 005771,Servicemembers,Closed,20150715,20151006
41,51732310,Ditech Financial LLC,15 SM 005811,Servicemembers,Closed,20150716,20160315
42,52294377,Ditech Financial LLC,16 SM 003009,Servicemembers,Closed,20160323,20160919
43,52296269,Ditech Financial LLC,16 SM 003040,Servicemembers,Open,20160323,20160323
44,52297020,Ditech Financial LLC,16 SM 003023,Servicemembers,Closed,20160323,20160921
45,52297270,Ditech Financial LLC,16 SM 003019,Servicemembers,Closed,20160323,20160815
46,52298032,Ditech Financial LLC,16 SM 003010,Servicemembers,Open,20160323,20160323
47,52301705,Ditech Financial LLC,16 SM 003086,Servicemembers,Closed,20160324,20160927
48,52302133,Ditech Financial LLC,16 SM 003085,Servicemembers,Closed,20160324,20161024
49,52303579,Ditech Financial LLC,16 SM 003080,Servicemembers,Closed,20160324,20160919
0,52305989,Ditech Financial LLC,16 SM 003084,Servicemembers,Open,20160324,20160324
1,52307219,Ditech Financial LLC,16 SM 003091,Servicemembers,Closed,20160324,20160915
2,52309759,Ditech Financial LLC,16 SM 003077,Servicemembers,Closed,20160324,20160919
3,52321781,Ditech Financial LLC,16 SM 003132,Servicemembers,Closed,20160325,20160928
4,52324867,Ditech Financial LLC,16 SM 003134,Servicemembers,Closed,20160325,20160928
5,52325025,Ditech Financial LLC,16 SM 003141,Servicemembers,Closed,20160325,20160919
6,52325622,Ditech Financial LLC,16 SM 003118,Servicemembers,Closed,20160325,20160907
7,52376225,Ditech Financial LLC,16 SM 003353,Servicemembers,Closed,20160331,20160830
8,52378775,Ditech Financial LLC,16 SM 003345,Servicemembers,Open,20160331,20160331
9,52378897,Ditech Financial LLC,16 SM 003343,Servicemembers,Closed,20160331,20160921
10,52379744,Ditech Financial LLC,16 SM 003304,Servicemembers,Closed,20160331,20161019
11,52381204,Ditech Financial LLC,16 SM 003333,Servicemembers,Closed,20160331,20160927
12,52532636,Ditech Financial LLC,15 SM 010435,Servicemembers,Open,20151124,20151124
13,52532873,Ditech Financial LLC,15 SM 010419,Servicemembers,Closed,20151124,20160502
14,52546764,Ditech Financial LLC,15 SM 010502,Servicemembers,Closed,20151125,20160204
15,52546910,Ditech Financial LLC,15 SM 010490,Servicemembers,Open,20151125,20151125
16,52546965,Ditech Financial LLC,15 SM 010492,Servicemembers,Closed,20151125,20160203
17,52547182,Ditech Financial LLC,15 SM 010476,Servicemembers,Closed,20151125,20160202
18,52547385,Ditech Financial LLC,15 SM 010488,Servicemembers,Closed,20151125,20160203
19,52547513,Ditech Financial LLC,15 SM 010491,Servicemembers,Closed,20151125,20160203
20,52547572,Ditech Financial LLC,15 SM 010501,Servicemembers,Closed,20151125,20160609
21,52547711,Ditech Financial LLC,15 SM 010494,Servicemembers,Closed,20151125,20160203
22,52548502,Ditech Financial LLC,15 SM 010480,Servicemembers,Closed,20151125,20160502
23,52549377,Ditech Financial LLC,15 SM 010483,Servicemembers,Closed,20151125,20160203
24,52549392,Ditech Financial LLC,15 SM 010485,Servicemembers,Closed,20151125,20160203
25,52549450,Ditech Financial LLC,15 SM 010484,Servicemembers,Closed,20151125,20160203
26,52549504,Ditech Financial LLC,15 SM 010486,Servicemembers,Closed,20151125,20160203
27,53019364,Ditech Financial LLC,15 SM 010539,Servicemembers,Closed,20151130,20160607
28,53019776,Ditech Financial LLC,15 SM 010532,Servicemembers,Closed,20151130,20160203
29,53021934,Ditech Financial LLC,15 SM 010558,Servicemembers,Closed,20151201,20160204
30,53022101,Ditech Financial LLC,15 SM 010581,Servicemembers,Closed,20151201,20160506
31,53024682,Ditech Financial LLC,15 SM 010634,Servicemembers,Closed,20151202,20160504
32,53024747,Ditech Financial LLC,15 SM 010648,Servicemembers,Closed,20151202,20160204
33,53024799,Ditech Financial LLC,15 SM 010636,Servicemembers,Closed,20151202,20160224
34,53026066,Ditech Financial LLC,15 SM 010639,Servicemembers,Closed,20151202,20160302
35,53039730,Ditech Financial LLC,15 SM 010703,Servicemembers,Closed,20151203,20160211
36,53039746,Ditech Financial LLC,15 SM 010713,Servicemembers,Closed,20151203,20160210
37,53039877,Ditech Financial LLC,15 SM 010700,Servicemembers,Closed,20151203,20160203
38,53042082,Ditech Financial LLC,15 SM 010771,Servicemembers,Closed,20151204,20160314
39,53042245,Ditech Financial LLC,15 SM 010769,Servicemembers,Closed,20151204,20160301
40,53042536,Ditech Financial LLC,15 SM 010759,Servicemembers,Closed,20151204,20160519
41,53042935,Ditech Financial LLC,15 SM 010770,Servicemembers,Closed,20151204,20160308
42,53050662,Ditech Financial LLC,15 SM 010835,Servicemembers,Closed,20151207,20160314
43,53050680,Ditech Financial LLC,15 SM 010807,Servicemembers,Closed,20151207,20160504
44,53050698,Ditech Financial LLC,15 SM 010813,Servicemembers,Open,20151207,20151207
45,53050843,Ditech Financial LLC,15 SM 010824,Servicemembers,Closed,20151207,20160307
46,53050872,Ditech Financial LLC,15 SM 010829,Servicemembers,Closed,20151207,20160307
47,53051277,Ditech Financial LLC,15 SM 010827,Servicemembers,Open,20151207,20151207
48,53051507,Ditech Financial LLC,15 SM 010834,Servicemembers,Closed,20151207,20160324
49,53051574,Ditech Financial LLC,15 SM 010823,Servicemembers,Closed,20151207,20160302
0,53052852,Ditech Financial LLC,15 SM 010866,Servicemembers,Open,20151208,20151208
1,53053310,Ditech Financial LLC,15 SM 010888,Servicemembers,Closed,20151208,20160224
2,53054036,Ditech Financial LLC,15 SM 010886,Servicemembers,Closed,20151208,20160513
3,53059741,Ditech Financial LLC,15 SM 010981,Servicemembers,Closed,20151210,20160307
4,53059756,Ditech Financial LLC,15 SM 010986,Servicemembers,Open,20151210,20151210
5,53059771,Ditech Financial LLC,15 SM 010996,Servicemembers,Closed,20151210,20160303
6,53060940,Ditech Financial LLC,15 SM 010978,Servicemembers,Closed,20151210,20160614
7,53063039,Ditech Financial LLC,15 SM 010975,Servicemembers,Closed,20151210,20160722
8,53063097,Ditech Financial LLC,15 SM 010979,Servicemembers,Closed,20151210,20160216
9,53067180,Ditech Financial LLC,15 SM 011066,Servicemembers,Closed,20151211,20160316
10,53067446,Ditech Financial LLC,15 SM 011069,Servicemembers,Closed,20151211,20160304
11,53135864,Ditech Financial LLC,15 SM 011268,Servicemembers,Open,20151217,20151217
12,53135912,Ditech Financial LLC,15 SM 011260,Servicemembers,Closed,20151217,20160331
13,53137810,Ditech Financial LLC,15 SM 011273,Servicemembers,Closed,20151217,20160331
14,53196432,Ditech Financial LLC,15 SM 011334,Servicemembers,Closed,20151218,20160406
15,53218802,Ditech Financial LLC,15 SM 011437,Servicemembers,Open,20151222,20151222
16,53219123,Ditech Financial LLC,15 SM 011412,Servicemembers,Open,20151222,20151222
17,53220371,Ditech Financial LLC,15 SM 011520,Servicemembers,Closed,20151223,20160408
18,53220455,Ditech Financial LLC,15 SM 011514,Servicemembers,Closed,20151223,20160408
19,53221418,Ditech Financial LLC,15 SM 011518,Servicemembers,Open,20151223,20151223
20,53223768,Ditech Financial LLC,15 SM 011530,Servicemembers,Closed,20151223,20160408
21,53223876,Ditech Financial LLC,15 SM 011515,Servicemembers,Closed,20151223,20160330
22,53299407,Ditech Financial LLC,15 SM 011672,Servicemembers,Closed,20151229,20160406
23,53316070,Ditech Financial LLC,15 SM 011720,Servicemembers,Closed,20151230,20160425
24,53316279,Ditech Financial LLC,15 SM 011712,Servicemembers,Open,20151230,20151230
25,53318322,Ditech Financial LLC,15 SM 011746,Servicemembers,Open,20151231,20151231
26,54078207,Ditech Financial LLC,15 SM 009009,Servicemembers,Closed,20151014,20151229
27,54081239,Ditech Financial LLC,15 SM 009015,Servicemembers,Closed,20151014,20151229
28,54094911,Ditech Financial LLC,15 SM 009008,Servicemembers,Closed,20151014,20151229
29,54239527,Ditech Financial LLC,15 SM 009045,Servicemembers,Closed,20151015,20160107
30,54244149,Ditech Financial LLC,15 SM 006066,Servicemembers,Open,20150724,20150724
31,54283797,Ditech Financial LLC,14 MISC 487916,Servicemembers,Closed,20141106,20160120
32,54304803,Ditech Financial LLC,15 SM 006078,Servicemembers,Closed,20150724,20151125
33,54357120,Ditech Financial LLC,14 MISC 487966,Servicemembers,Closed,20141107,20150924
