,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,10363,Harvard Funding Llc Assignee Of Direct Merchants C,1107CV000357,Civil,Disposed (Statistical Purposes),20110420,20110531
1,19780134,Harvard Funding Llc Assignee Of Direct Merchants C,0507SP000033,Supplementary Process,Pending,20050128,20050128
2,19818463,Harvard Funding Llc Assignee Of Direct Merchants C,0507SP000166,Supplementary Process,Pending,20050325,20050325
3,19984470,Harvard Funding Llc Assignee Of Direct Merchants C,0507SP000619,Supplementary Process,Disposed (Statistical Purposes),20051019,20060512
4,21006055,Harvard Funding Llc Assignee Of Direct Merchants C,0625SP000494,Supplementary Process,Disposed (Statistical Purposes),20060224,20060822
5,21802741,Harvard Funding Llc Assignee Of Direct Merchants C,0607SP000002,Supplementary Process,Disposed (Statistical Purposes),20060110,20060324
6,21832063,Harvard Funding Llc Assignee Of Direct Merchants C,0539SP000005,Supplementary Process,Disposed (Statistical Purposes),20050118,20050523
7,26674598,Harvard Funding Llc Assignee Of Direct Merchants C,0545SP000035,Supplementary Process,Disposed (Statistical Purposes),20050414,20060126
8,27133923,Harvard Funding Llc Assignee Of Direct Merchants C,0545CV000052,Civil,Disposed (Statistical Purposes),20050215,20060306
9,27193590,Harvard Funding Llc Assignee Of Direct Merchants C,0545CV000093,Civil,Disposed (Statistical Purposes),20050308,20060206
10,29056679,Harvard Funding Llc Assignee Of Direct Merchants C,0559CV000043,Civil,Disposed (Statistical Purposes),20050119,20050329
11,29279600,Harvard Funding Llc Assignee Of Direct Merchants C,0559SP000065,Supplementary Process,Disposed (Statistical Purposes),20050310,20050504
12,30701198,Harvard Funding Llc Assignee Of Direct Merchants C,0550CV001154,Civil,Disposed (Statistical Purposes),20050909,20060321
13,32049258,Harvard Funding Llc Assignee Of Direct Merchants C,0545SP000077,Supplementary Process,Disposed (Statistical Purposes),20050725,20060303
14,32368115,Harvard Funding Llc Assignee Of Direct Merchants C,0745SP000070,Supplementary Process,Disposed (Statistical Purposes),20070518,20070629
15,33662492,Harvard Funding Llc Assignee Of Direct Merchants C,0550CV001279,Civil,Disposed (Statistical Purposes),20051007,20051115
16,34341660,Harvard Funding Llc Assignee Of Direct Merchants C,0845SP000069,Supplementary Process,Disposed (Statistical Purposes),20080331,20081007
17,34649556,Harvard Funding Llc Assignee Of Direct Merchants C,0559SP000319,Supplementary Process,Disposed (Statistical Purposes),20050930,20051117
18,45398271,Harvard Funding Llc Assignee Of Direct Merchants C,0507SP000736,Supplementary Process,Disposed (Statistical Purposes),20051201,20060224
19,45606770,Harvard Funding Llc Assignee Of Direct Merchants C,0538CV000021,Civil,Disposed (Statistical Purposes),20050119,20050315
20,45717566,Harvard Funding Llc Assignee Of Direct Merchants C,0550SP000027,Supplementary Process,Disposed (Statistical Purposes),20050113,20050315
21,45883992,Harvard Funding Llc Assignee Of Direct Merchants C,0609SP000019,Supplementary Process,Disposed (Statistical Purposes),20060320,20160202
22,47278841,Harvard Funding Llc Assignee Of Direct Merchants C,0925CV001083,Civil,Disposed (Statistical Purposes),20090625,20091203
23,50613886,Harvard Funding Llc Assignee Of Direct Merchants C,0607SP000094,Supplementary Process,Disposed (Statistical Purposes),20060207,20060405
24,69734022,Harvard Funding Llc Assignee Of Direct Merchants C,0601SC008015,Small Claims,Closed,20061005,20061005
25,24432,Harvard Funding LLC,1160SC001133,Small Claims,Disposed (Statistical Purposes),20111004,20120105
26,28377,Harvard Funding LLC,0062CV001211,Civil,Disposed (Statistical Purposes),20130905,20140411
27,63051,Harvard Funding LLC,1063SC000117,Small Claims,Disposed (Statistical Purposes),20100412,20100614
28,232380,Harvard Funding LLC,1318SP000363,Supplementary Process,Disposed (Statistical Purposes),20130715,20130903
29,279704,Harvard Funding LLC,1068CV000243,Civil,Disposed (Statistical Purposes),20100603,20101005
30,280048,Harvard Funding LLC,1217CV000193,Civil,Disposed (Statistical Purposes),20120831,20140204
31,283931,Harvard Funding LLC,1114CV000628,Civil,Disposed (Statistical Purposes),20110809,20121010
32,344822,Harvard Funding LLC,1289SP000074,Supplementary Process,Disposed (Statistical Purposes),20120315,20120426
33,449512,Harvard Funding LLC,1159SC000910,Small Claims,Disposed (Statistical Purposes),20110701,20110804
34,453993,Harvard Funding LLC,1159SC000911,Small Claims,Disposed (Statistical Purposes),20110701,20110803
35,457733,Harvard Funding LLC,1159SC000912,Small Claims,Disposed (Statistical Purposes),20110701,20110803
36,505535,Harvard Funding LLC,0910SC001966,Small Claims,Disposed (Statistical Purposes),20091209,20100121
37,551174,Harvard Funding LLC,1110SP000361,Supplementary Process,Disposed (Statistical Purposes),20110828,20120109
38,568112,Harvard Funding LLC,1039SC000152,Small Claims,Disposed (Statistical Purposes),20100405,20100429
39,782457,Harvard Funding LLC,1427SP000117,Supplementary Process,Disposed (Statistical Purposes),20141124,20150211
40,955417,Harvard Funding LLC,1111SC001719,Small Claims,Disposed (Statistical Purposes),20110620,20110809
41,984935,Harvard Funding LLC,1111SC001730,Small Claims,Disposed (Statistical Purposes),20110621,20110815
42,1050041,Harvard Funding LLC,1217CV000270,Civil,Disposed (Statistical Purposes),20121126,20130211
43,1128074,Harvard Funding LLC,1111SC001824,Small Claims,Disposed (Statistical Purposes),20110701,20110815
44,1128602,Harvard Funding LLC,1111SC001825,Small Claims,Disposed (Statistical Purposes),20110701,20110815
45,1129192,Harvard Funding LLC,1111SC001826,Small Claims,Disposed (Statistical Purposes),20110701,20110815
46,1129476,Harvard Funding LLC,1111SC001827,Small Claims,Disposed (Statistical Purposes),20110701,20110815
47,1141667,Harvard Funding LLC,1349SP000193,Supplementary Process,Disposed (Statistical Purposes),20130718,20131031
48,1176310,Harvard Funding LLC,1116SP000243,Supplementary Process,Disposed (Statistical Purposes),20111013,20120209
49,1193256,Harvard Funding LLC,1143SP000240,Supplementary Process,Pending,20111005,20111005
0,1223482,Harvard Funding LLC,1014SC001219,Small Claims,Disposed (Statistical Purposes),20100917,20101110
1,1278733,Harvard Funding LLC,1023SC002378,Small Claims,Disposed (Statistical Purposes),20100917,20101123
2,1699197,Harvard Funding LLC,1110SC001492,Small Claims,Disposed (Statistical Purposes),20111118,20120208
3,1732484,Harvard Funding LLC,1215SP000732,Supplementary Process,Pending,20121123,20121123
4,2017748,Harvard Funding LLC,1110SC001583,Small Claims,Disposed (Statistical Purposes),20111210,20120302
5,2041901,Harvard Funding LLC,1117SP000128,Supplementary Process,Pending,20111013,20111104
6,2111869,Harvard Funding LLC,1023SC003023,Small Claims,Disposed (Statistical Purposes),20101117,20110329
7,2262205,Harvard Funding LLC,1044SC000745,Small Claims,Disposed (Statistical Purposes),20101103,20111007
8,2300026,Harvard Funding LLC,1015SP000505,Supplementary Process,Disposed (Statistical Purposes),20100416,20100608
9,2410549,Harvard Funding LLC,1462SP000648,Supplementary Process,Disposed (Statistical Purposes),20141204,20150319
10,2805899,Harvard Funding LLC,1034SC000253,Small Claims,Disposed (Statistical Purposes),20100401,20100602
11,2855379,Harvard Funding LLC,1134SC000649,Small Claims,Disposed (Statistical Purposes),20110630,20111005
12,2857585,Harvard Funding LLC,1140SC000192,Small Claims,Disposed (Statistical Purposes),20111014,20111118
13,2874313,Harvard Funding LLC,1157SC000663,Small Claims,Disposed (Statistical Purposes),20110701,20111102
14,3108225,Harvard Funding LLC,1156SC003052,Small Claims,Disposed (Statistical Purposes),20110706,20110822
15,3395017,Harvard Funding LLC,1118SC001282,Small Claims,Disposed (Statistical Purposes),20110720,20110913
16,3519362,Harvard Funding LLC,1114CV000911,Civil,Disposed (Statistical Purposes),20111122,20120410
17,3660942,Harvard Funding LLC,1349SP000297,Supplementary Process,Disposed (Statistical Purposes),20131227,20140212
18,3714280,Harvard Funding LLC,1133SC002055,Small Claims,Disposed (Statistical Purposes),20110705,20110727
19,3771188,Harvard Funding LLC,1286SP000168,Supplementary Process,Disposed (Statistical Purposes),20120814,20120925
20,3810789,Harvard Funding LLC,1123SP000916,Supplementary Process,Disposed (Statistical Purposes),20111006,20111103
21,3811185,Harvard Funding LLC,9965CV000222,Civil,Disposed (Statistical Purposes),20130925,20131209
22,3992815,Harvard Funding LLC,1156SP000408,Supplementary Process,Disposed (Statistical Purposes),20110401,20110510
23,4030318,Harvard Funding LLC,1149SC001137,Small Claims,Disposed (Statistical Purposes),20111014,20120621
