,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,4805396,The Higher Education Loan Authority of the State of Missouri,1325CV000519,Civil,Disposed (Statistical Purposes),20130731,20131004
1,14840547,The Higher Education Loan Authority of the State of Missouri,1423CV000030,Civil,Disposed (Statistical Purposes),20140107,20140303
2,66013818,The Higher Education Loan Authority of the State of Missouri,1651SC000439,Small Claims,Disposed (Statistical Purposes),20160627,20160729
3,75063709,The Higher Education Loan Authority of the State of Missouri,1310CV000002,Civil,Disposed (Statistical Purposes),20130103,20130211
4,75682640,Higher Education Loan Authority Of The State Of Missouri,1309CV000087,Civil,Disposed (Statistical Purposes),20130611,20140318
