,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,6624507,"The Best Service Co.,Inc",1147SP000188,Supplementary Process,Pending,20111222,20111222
1,29039521,"The Best Service Co., Inc.",0969SP000167,Supplementary Process,Disposed (Statistical Purposes),20090511,20090803
2,39709838,"The Best Service Co., Inc.",0953SP000209,Supplementary Process,Disposed (Statistical Purposes),20090320,20090602
3,52674014,The Best Service Co Inc.,0813SP000277,Supplementary Process,Disposed (Statistical Purposes),20080408,20080611
4,60436218,"The Best Service Company, Inc., A Corporation Of C",0831CV001943,Civil,Disposed (Statistical Purposes),20081124,20091030
5,63812936,"The Best Service Company, Inc., d/b/a The Best Service Company",0781CV00247,Contract / Business Cases,Closed,20070122,20090407
6,65892551,The Best Service Co Inc,0677CV00476,Contract / Business Cases,Open,20060320,20080110
7,68711158,"The Best Service Co., Inc., Assignee Of Wells Fargo Bank",0881CV03410,Contract / Business Cases,Closed,20080911,20081230
8,86523583,The Best Service Co.,1859CV000302,Civil,Closed,20180420,20180612
