,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,16054,"Waterfront Capital, LLC",1254SP000379,Supplementary Process,Disposed (Statistical Purposes),20121217,20130402
1,17650,"Waterfront Capital, LLC",1254SP000381,Supplementary Process,Disposed (Statistical Purposes),20121217,20130722
2,28557,"Waterfront Capital, LLC",1259SC623125,Small Claims,Pending,20121004,20140310
3,32477,"Waterfront Capital, LLC",1416SC000285,Small Claims,Disposed (Statistical Purposes),20140424,20140814
4,34772,"Waterfront Capital, LLC",1416SC000286,Small Claims,Disposed (Statistical Purposes),20140424,20140828
5,34909,"Waterfront Capital, LLC",1236SC001549,Small Claims,Disposed (Statistical Purposes),20121105,20130213
6,46430,"Waterfront Capital, LLC",1260SC001055,Small Claims,Disposed (Statistical Purposes),20120904,20130326
7,46642,"Waterfront Capital, LLC",1334SC000760,Small Claims,Disposed (Statistical Purposes),20130718,20140114
8,47097,"Waterfront Capital, LLC",1334SC000761,Small Claims,Disposed (Statistical Purposes),20130718,20140108
9,47528,"Waterfront Capital, LLC",1260SC001056,Small Claims,Disposed (Statistical Purposes),20120904,20130313
10,48734,"Waterfront Capital, LLC",1260SC001057,Small Claims,Disposed (Statistical Purposes),20120904,20130321
11,49632,"Waterfront Capital, LLC",1260SC001058,Small Claims,Disposed (Statistical Purposes),20120904,20130321
12,58306,"Waterfront Capital, LLC",1260SC001063,Small Claims,Disposed (Statistical Purposes),20120904,20130321
13,58561,"Waterfront Capital, LLC",1210SC001450,Small Claims,Disposed (Statistical Purposes),20121116,20130110
14,58999,"Waterfront Capital, LLC",1431SP000034,Supplementary Process,Disposed (Statistical Purposes),20140129,20140527
15,59720,"Waterfront Capital, LLC",1260SC001064,Small Claims,Disposed (Statistical Purposes),20120904,20130326
16,62053,"Waterfront Capital, LLC",1260SC001065,Small Claims,Disposed (Statistical Purposes),20120904,20130321
17,63671,"Waterfront Capital, LLC",1350SC002381,Small Claims,Disposed (Statistical Purposes),20131204,20140225
18,64443,"Waterfront Capital, LLC",1260SC001066,Small Claims,Disposed (Statistical Purposes),20120904,20130326
19,65923,"Waterfront Capital, LLC",1260SC001067,Small Claims,Disposed (Statistical Purposes),20120904,20130320
20,68537,"Waterfront Capital, LLC",1260SC001068,Small Claims,Disposed (Statistical Purposes),20120904,20130321
21,70559,"Waterfront Capital, LLC",1260SC001069,Small Claims,Disposed (Statistical Purposes),20120904,20130326
22,88481,"Waterfront Capital, LLC",1355SP000192,Supplementary Process,Disposed (Statistical Purposes),20130827,20140807
23,97036,"Waterfront Capital, LLC",1316SC000748,Small Claims,Disposed (Statistical Purposes),20131112,20140107
24,130931,"Waterfront Capital, LLC",1329SC000039,Small Claims,Disposed (Statistical Purposes),20130206,20130319
25,131399,"Waterfront Capital, LLC",1329SC000040,Small Claims,Disposed (Statistical Purposes),20130206,20130319
26,131836,"Waterfront Capital, LLC",1329SC000041,Small Claims,Disposed (Statistical Purposes),20130206,20130320
27,132133,"Waterfront Capital, LLC",1329SC000042,Small Claims,Disposed (Statistical Purposes),20130206,20130314
28,135463,"Waterfront Capital, LLC",1416SP000047,Supplementary Process,Disposed (Statistical Purposes),20140428,20140818
29,141655,"Waterfront Capital, LLC",1111SC000455,Small Claims,Disposed (Statistical Purposes),20110224,20110404
30,144016,"Waterfront Capital, LLC",1111SC000461,Small Claims,Disposed (Statistical Purposes),20110225,20110412
31,157364,"Waterfront Capital, LLC",1355SC000707,Small Claims,Disposed (Statistical Purposes),20130904,20140131
32,158737,"Waterfront Capital, LLC",1355SC000708,Small Claims,Disposed (Statistical Purposes),20130904,20140131
33,166655,"Waterfront Capital, LLC",1243SC000415,Small Claims,Disposed (Statistical Purposes),20120507,20120626
34,176095,"Waterfront Capital, LLC",1432CV000347,Civil,Disposed (Statistical Purposes),20140425,20140718
35,178579,"Waterfront Capital, LLC",1427SC000210,Small Claims,Disposed (Statistical Purposes),20140221,20140501
36,179350,"Waterfront Capital, LLC",1427SC000211,Small Claims,Disposed (Statistical Purposes),20140221,20140501
37,180927,"Waterfront Capital, LLC",1427SC000212,Small Claims,Disposed (Statistical Purposes),20140221,20140324
38,182329,"Waterfront Capital, LLC",1427SC000213,Small Claims,Disposed (Statistical Purposes),20140221,20140501
39,183769,"Waterfront Capital, LLC",1455SC001007,Small Claims,Disposed (Statistical Purposes),20141017,20150304
40,184061,"Waterfront Capital, LLC",1427SC000214,Small Claims,Disposed (Statistical Purposes),20140221,20140501
41,185467,"Waterfront Capital, LLC",1455SC001008,Small Claims,Disposed (Statistical Purposes),20141017,20150225
42,185570,"Waterfront Capital, LLC",1427SC000215,Small Claims,Disposed (Statistical Purposes),20140221,20140501
43,187108,"Waterfront Capital, LLC",1455SC001009,Small Claims,Disposed (Statistical Purposes),20141017,20150225
44,187562,"Waterfront Capital, LLC",1427SC000216,Small Claims,Disposed (Statistical Purposes),20140221,20140501
45,188847,"Waterfront Capital, LLC",1427SC000217,Small Claims,Disposed (Statistical Purposes),20140221,20140501
46,190204,"Waterfront Capital, LLC",1427SC000218,Small Claims,Disposed (Statistical Purposes),20140221,20140501
47,191668,"Waterfront Capital, LLC",1427SC000219,Small Claims,Disposed (Statistical Purposes),20140221,20140501
48,191895,"Waterfront Capital, LLC",1455SC001013,Small Claims,Disposed (Statistical Purposes),20141017,20150305
49,193096,"Waterfront Capital, LLC",1427SC000220,Small Claims,Disposed (Statistical Purposes),20140221,20140501
0,194177,"Waterfront Capital, LLC",1427SC000221,Small Claims,Disposed (Statistical Purposes),20140221,20140516
1,195737,"Waterfront Capital, LLC",1427SC000222,Small Claims,Disposed (Statistical Purposes),20140221,20140324
2,197103,"Waterfront Capital, LLC",1427SC000223,Small Claims,Disposed (Statistical Purposes),20140221,20140501
3,226344,"Waterfront Capital, LLC",1260SC001108,Small Claims,Disposed (Statistical Purposes),20120917,20130404
4,245007,"Waterfront Capital, LLC",1432CV000393,Civil,Disposed (Statistical Purposes),20140512,20141031
5,245710,"Waterfront Capital, LLC",1432CV000394,Civil,Disposed (Statistical Purposes),20140512,20140815
6,246432,"Waterfront Capital, LLC",1432CV000395,Civil,Disposed (Statistical Purposes),20140512,20141226
7,247063,"Waterfront Capital, LLC",1211SC000142,Small Claims,Disposed (Statistical Purposes),20120117,20120424
8,247682,"Waterfront Capital, LLC",1432CV000396,Civil,Disposed (Statistical Purposes),20140512,20140728
9,267964,"Waterfront Capital, LLC",1469SC000610,Small Claims,Disposed (Statistical Purposes),20140805,20141218
10,268621,"Waterfront Capital, LLC",1416SC000334,Small Claims,Disposed (Statistical Purposes),20140512,20140828
11,268686,"Waterfront Capital, LLC",1259SC001479,Small Claims,Disposed (Statistical Purposes),20121010,20121204
12,268792,"Waterfront Capital, LLC",1355SC000573,Small Claims,Disposed (Statistical Purposes),20130718,20140213
13,270812,"Waterfront Capital, LLC",1259SC001480,Small Claims,Disposed (Statistical Purposes),20121010,20121204
14,271084,"Waterfront Capital, LLC",1416SC000335,Small Claims,Disposed (Statistical Purposes),20140512,20140828
15,273812,"Waterfront Capital, LLC",1416SC000336,Small Claims,Disposed (Statistical Purposes),20140512,20140828
16,276134,"Waterfront Capital, LLC",1416SC000337,Small Claims,Disposed (Statistical Purposes),20140512,20140828
17,276321,"Waterfront Capital, LLC",1421CV000113,Civil,Disposed (Statistical Purposes),20140425,20140731
18,278414,"Waterfront Capital, LLC",1416SC000338,Small Claims,Disposed (Statistical Purposes),20140512,20140828
19,279242,"Waterfront Capital, LLC",1421CV000115,Civil,Disposed (Statistical Purposes),20140425,20140731
20,280409,"Waterfront Capital, LLC",1469SC000611,Small Claims,Disposed (Statistical Purposes),20140806,20141216
21,281530,"Waterfront Capital, LLC",1469SC000612,Small Claims,Disposed (Statistical Purposes),20140806,20150224
22,282370,"Waterfront Capital, LLC",1469SC000613,Small Claims,Disposed (Statistical Purposes),20140806,20141216
23,282690,"Waterfront Capital, LLC",1469SC000614,Small Claims,Disposed (Statistical Purposes),20140806,20141218
24,283269,"Waterfront Capital, LLC",1469SC000615,Small Claims,Disposed (Statistical Purposes),20140806,20140825
25,283914,"Waterfront Capital, LLC",1469SC000616,Small Claims,Disposed (Statistical Purposes),20140806,20141218
26,284602,"Waterfront Capital, LLC",1469SC000617,Small Claims,Disposed (Statistical Purposes),20140806,20141015
27,285415,"Waterfront Capital, LLC",1469SC000618,Small Claims,Disposed (Statistical Purposes),20140806,20140825
28,286028,"Waterfront Capital, LLC",1469SC000619,Small Claims,Disposed (Statistical Purposes),20140806,20141218
29,286396,"Waterfront Capital, LLC",1421SC000347,Small Claims,Disposed (Statistical Purposes),20140425,20140623
30,286682,"Waterfront Capital, LLC",1469SC000620,Small Claims,Disposed (Statistical Purposes),20140806,20141218
31,291010,"Waterfront Capital, LLC",1418SC000227,Small Claims,Disposed (Statistical Purposes),20140122,20141208
32,301780,"Waterfront Capital, LLC",1421SC000708,Small Claims,Disposed (Statistical Purposes),20140807,20141021
33,303192,"Waterfront Capital, LLC",1217SC000522,Small Claims,Disposed (Statistical Purposes),20120830,20121218
34,303392,"Waterfront Capital, LLC",1427SC000255,Small Claims,Disposed (Statistical Purposes),20140303,20140324
35,304000,"Waterfront Capital, LLC",1421SC000709,Small Claims,Disposed (Statistical Purposes),20140807,20140812
36,305055,"Waterfront Capital, LLC",1421SC000710,Small Claims,Disposed (Statistical Purposes),20140807,20141021
37,305518,"Waterfront Capital, LLC",1318SC001353,Small Claims,Disposed (Statistical Purposes),20130717,20140623
38,305737,"Waterfront Capital, LLC",1427SC000256,Small Claims,Disposed (Statistical Purposes),20140303,20140321
39,307331,"Waterfront Capital, LLC",1421SC000711,Small Claims,Disposed (Statistical Purposes),20140807,20140812
40,307766,"Waterfront Capital, LLC",1318SC001354,Small Claims,Disposed (Statistical Purposes),20130717,20140729
41,309456,"Waterfront Capital, LLC",1318SC001355,Small Claims,Disposed (Statistical Purposes),20130717,20140623
42,312955,"Waterfront Capital, LLC",1421SC000714,Small Claims,Disposed (Statistical Purposes),20140807,20140826
43,314424,"Waterfront Capital, LLC",1421SC000715,Small Claims,Disposed (Statistical Purposes),20140807,20140826
44,318008,"Waterfront Capital, LLC",1110SC001143,Small Claims,Closed (Transferred),20110822,20121220
45,319298,"Waterfront Capital, LLC",1318SC001356,Small Claims,Disposed (Statistical Purposes),20130717,20130805
46,326164,"Waterfront Capital, LLC",1318SC001359,Small Claims,Disposed (Statistical Purposes),20130717,20140623
