,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,895484,Asset Recovery Solutions LLC,1250SP000383,Supplementary Process,Disposed (Statistical Purposes),20120629,20120823
1,7742816,Asset Recovery Solutions LLC,1257SP000369,Supplementary Process,Disposed (Statistical Purposes),20121018,20121106
2,14806186,Asset Recovery Solutions LLC,1250CV000311,Civil,Disposed (Statistical Purposes),20120322,20120523
3,47913537,Asset Recovery Solutions LLC,1245SP000154,Supplementary Process,Disposed (Statistical Purposes),20121018,20121127
4,70014803,Asset Recovery Solutions LLC,1361SP000081,Supplementary Process,Disposed (Statistical Purposes),20130610,20150917
5,1086891,"Asset Recovery Solutions, LLC",1264SP000330,Supplementary Process,Disposed (Statistical Purposes),20120924,20121031
6,2055234,"Asset Recovery Solutions, LLC",1257CV000367,Civil,Disposed (Statistical Purposes),20120618,20120802
7,2243028,"Asset Recovery Solutions, LLC",1459CV000276,Civil,Pending,20140313,20140313
8,2731184,"Asset Recovery Solutions, LLC",1259CV000356,Civil,Disposed (Statistical Purposes),20120322,20120604
9,2733734,"Asset Recovery Solutions, LLC",1259CV000357,Civil,Disposed (Statistical Purposes),20120322,20120604
10,4261232,"Asset Recovery Solutions, LLC",1215CV000501,Civil,Disposed (Statistical Purposes),20120327,20120516
11,4440424,"Asset Recovery Solutions, LLC",1263SP000068,Supplementary Process,Disposed (Statistical Purposes),20120719,20120912
12,4782286,"Asset Recovery Solutions, LLC",1211CV000514,Civil,Disposed (Statistical Purposes),20120322,20130621
13,4788216,"Asset Recovery Solutions, LLC",1211CV000517,Civil,Disposed (Statistical Purposes),20120322,20130205
14,5446821,"Asset Recovery Solutions, LLC",1253SP000377,Supplementary Process,Pending,20120806,20120806
15,5468096,"Asset Recovery Solutions, LLC",1233SP000339,Supplementary Process,Disposed (Statistical Purposes),20120618,20120905
16,5789150,"Asset Recovery Solutions, LLC",1460SP000231,Supplementary Process,Disposed (Statistical Purposes),20141020,20150108
17,6115804,"Asset Recovery Solutions, LLC",1211CV000896,Civil,Disposed (Statistical Purposes),20120525,20140609
18,6594374,"Asset Recovery Solutions, LLC",1253CV000281,Civil,Disposed (Statistical Purposes),20120322,20120628
19,7277446,"Asset Recovery Solutions, LLC",1231CV000278,Civil,Disposed (Statistical Purposes),20120323,20120503
20,7856109,"Asset Recovery Solutions, LLC",1265CV000085,Civil,Disposed (Statistical Purposes),20120322,20120423
21,9039093,"Asset Recovery Solutions, LLC",1338CV000598,Civil,Pending,20131112,20131112
22,9168886,"Asset Recovery Solutions, LLC",1269SP000190,Supplementary Process,Disposed (Statistical Purposes),20120904,20130606
23,9535282,"Asset Recovery Solutions, LLC",1261CV000051,Civil,Disposed (Statistical Purposes),20120215,20121016
24,10558830,"Asset Recovery Solutions, LLC",1245SP000088,Supplementary Process,Disposed (Statistical Purposes),20120625,20140110
25,10559188,"Asset Recovery Solutions, LLC",1261CV000100,Civil,Disposed (Statistical Purposes),20120322,20120511
26,10675580,"Asset Recovery Solutions, LLC",1263CV000053,Civil,Disposed (Statistical Purposes),20120322,20120508
27,11133768,"Asset Recovery Solutions, LLC",1264CV000164,Civil,Disposed (Statistical Purposes),20120322,20120711
28,11272962,"Asset Recovery Solutions, LLC",1264CV000243,Civil,Disposed (Statistical Purposes),20120418,20120806
29,12044467,"Asset Recovery Solutions, LLC",1269CV000128,Civil,Disposed (Statistical Purposes),20120322,20120608
30,12044717,"Asset Recovery Solutions, LLC",1269CV000129,Civil,Disposed (Statistical Purposes),20120322,20120524
31,12776799,"Asset Recovery Solutions, LLC",1259SP000471,Supplementary Process,Disposed (Statistical Purposes),20120801,20120907
32,12782812,"Asset Recovery Solutions, LLC",1259SP000472,Supplementary Process,Disposed (Statistical Purposes),20120801,20120907
33,13078295,"Asset Recovery Solutions, LLC",1234CV000199,Civil,Disposed (Statistical Purposes),20120323,20120606
34,13552838,"Asset Recovery Solutions, LLC",1242CV000039,Civil,Disposed (Statistical Purposes),20120322,20120504
35,14083550,"Asset Recovery Solutions, LLC",1242SP000065,Supplementary Process,Pending,20120622,20120622
36,16167840,"Asset Recovery Solutions, LLC",1236CV000270,Civil,Disposed (Statistical Purposes),20120322,20120521
37,20447482,"Asset Recovery Solutions, LLC",0705SC000602,Small Claims,Disposed (Statistical Purposes),20070926,20130919
38,46315359,"Asset Recovery Solutions, LLC",0710CV000075,Civil,Disposed (Statistical Purposes),20070124,20070222
