,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,366139,"HSBC Bank USA, National Association, Inc. as Trustee for Nomura Asset Acceptance Corporation Mortgage Pass-Through Certificates Series 2006-AF@",1159SU000090,Summary Process,Disposed (Statistical Purposes),20111017,20111115
1,1828804,U.S. Bank National Association as Trustee for the Registered holders of MASTR Asset-Backed Securities Trust 2007-WMC1 Mortgage Pass-Through Certificates Series 2007-WMC1,1349SU000518,Summary Process,Disposed (Statistical Purposes),20130826,20141204
2,3911712,"Deutsche Bank National Trust Company, as Trustee of the Residential Asset Securization Trust 2005-A1 Mortgage Pass-Through Certificates, Series 2005-A Under the Pooling and Servicing Agreement Dated March 1, 2005.",1249SU000756,Summary Process,Pending,20121120,20121120
3,5455062,"Deutsche Bank National Trust Company, as Trustee of the Home Equity Mortgage Loan Asset-Backed Trust Series INABS 2005-C, Home Equity Mortgage Loan Asset-Backed Certificates, Series INABS 2005-C under the Pooling and Servicing Agreement dated September 1,",1168SU000016,Summary Process,Disposed (Statistical Purposes),20110816,20110906
4,10038243,"US Bank National Association as Trustee for Structured Asset Securities Corp., Mortgage Pass-Through Certificates, Series 2005-OPT1",1135SU000105,Summary Process,Disposed (Statistical Purposes),20110725,20110808
5,10781158,"HSBC Bank USA, National Assoc. as Trustee for Wells Fargo Asset Securities Corporation, Mortgage Asset-Backed Pass-Through Certificates Series 2007-PA3",1235SU000045,Summary Process,Disposed (Statistical Purposes),20121009,20121026
6,11423323,"Deutsche Bank National Trust Company As Trustee of HSI Asset Securitization Corporation Trust, Series 2006-HE1 Mortgage Pass-Through Certificates, Series 2006 HE1",12H79SP002610,Housing Court Summary Process,Active,20120706,20120706
7,11471443,"Deutsche Bank National Trust Company, as Trustee under Pooling and Servicing Agreement dated as of January 1, 2007 Securitized Asset-Backed Receivables LLC Trust 2007-NCI Mortgage Pass-Through Certifcates, Series 2007-NCI",12H79SP002829,Housing Court Summary Process,Closed,20120725,20120725
8,12403426,"Wells Fargo Bank, National Securitized asset backed Receivables LLC 2005-FR5 Mortgage Pass-Through Certificates, Series 2005-FR5",12H83SP00443NB,Housing Court Summary Process,Active,20120130,20120130
9,12888354,"Deutsche Bank National Trust Company, as Trustee of the Home Equity Mortgage Loan Asset-Backed Trust Series INABS 2006-C, Home Equity Mortgage Loan",10H79SP004017,Housing Court Summary Process,Active,20101001,20101001
10,12934908,"Deutsche Bank National Trust Co., as Trustee of the Residential Asset Securitization Trust 2007-AZ Mortgage Pass",1235SU000002,Summary Process,Disposed (Statistical Purposes),20120130,20120221
11,18285579,"Deutsche Bank National Trust Company, as Indenture Trustee for the registered noteholders of Aegis Asset Backed Securities Trust 2006-1, Mortgage Backed Notes",1205SU000079,Summary Process,Disposed (Statistical Purposes),20120529,20131003
12,19022003,"Deutsche Bank National Trust Company as Trustee of the Home Equity Mortgage Loan Asset-Backed Trust Series INABS 2006-D Home Equity Mortgage Loan Asset-Backed Certificates, Series INABS 2006-D under the pooling and Servicing agreement dated Sept. 1, 2006",1105SU000169,Summary Process,Disposed (Statistical Purposes),20111024,20131003
