,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,7723,Palisades Collection Llc,1107SP000298,Supplementary Process,Disposed (Statistical Purposes),20110419,20110602
1,20284,Palisades Collection Llc,1063SC000083,Small Claims,Disposed (Statistical Purposes),20100315,20100426
2,112296,Palisades Collection Llc,1068CV000169,Civil,Disposed (Statistical Purposes),20100412,20100525
3,137254,Palisades Collection Llc,1122CV000185,Civil,Disposed (Statistical Purposes),20110322,20110715
4,180430,Palisades Collection Llc,1289SP000007,Supplementary Process,Disposed (Statistical Purposes),20120110,20120208
5,238604,Palisades Collection Llc,0910CV001281,Civil,Disposed (Statistical Purposes),20091023,20091209
6,274842,Palisades Collection Llc,1110CV000819,Civil,Disposed (Statistical Purposes),20111017,20120308
7,291752,Palisades Collection Llc,1158CV000802,Civil,Disposed (Statistical Purposes),20111101,20111205
8,310939,Palisades Collection Llc,1111SC000826,Small Claims,Disposed (Statistical Purposes),20110329,20110517
9,317848,Palisades Collection Llc,1110CV000850,Civil,Disposed (Statistical Purposes),20111028,20140428
10,358554,Palisades Collection Llc,1247CV000033,Civil,Disposed (Statistical Purposes),20120123,20120403
11,396883,Palisades Collection Llc,1053CV000217,Civil,Disposed (Statistical Purposes),20100208,20100414
12,407121,Palisades Collection Llc,1158SP000397,Supplementary Process,Disposed (Statistical Purposes),20111101,20111208
13,409432,Palisades Collection Llc,1110SC001541,Small Claims,Disposed (Statistical Purposes),20111101,20120208
14,440474,Palisades Collection Llc,1110CV000700,Civil,Disposed (Statistical Purposes),20110826,20121001
15,466380,Palisades Collection Llc,1039SP000041,Supplementary Process,Disposed (Statistical Purposes),20100217,20110114
16,471833,Palisades Collection Llc,1264CV000376,Civil,Disposed (Statistical Purposes),20120709,20121002
17,479041,Palisades Collection Llc,1034CV000012,Civil,Disposed (Statistical Purposes),20100104,20100316
18,479601,Palisades Collection Llc,1143CV000494,Civil,Disposed (Statistical Purposes),20110829,20140626
19,517913,Palisades Collection Llc,1216CV000320,Civil,Disposed (Statistical Purposes),20120918,20130705
20,539012,Palisades Collection Llc,0810CV001303,Civil,Disposed (Statistical Purposes),20081003,20090914
21,540064,Palisades Collection Llc,0810CV001305,Civil,Disposed (Statistical Purposes),20081003,20090318
22,632748,Palisades Collection Llc,1157SP000091,Supplementary Process,Disposed (Statistical Purposes),20110309,20110505
23,648045,Palisades Collection Llc,1065SC000300,Small Claims,Disposed (Statistical Purposes),20100621,20100810
24,682984,Palisades Collection Llc,1243SP000237,Supplementary Process,Disposed (Statistical Purposes),20120608,20131217
25,869718,Palisades Collection Llc,1044CV000494,Civil,Disposed (Statistical Purposes),20100702,20101202
26,877828,Palisades Collection Llc,1420CV000132,Civil,Disposed (Statistical Purposes),20140428,20150803
27,929292,Palisades Collection Llc,1157CV000264,Civil,Disposed (Statistical Purposes),20110321,20110815
28,931891,Palisades Collection Llc,1157CV000265,Civil,Disposed (Statistical Purposes),20110321,20110601
29,935298,Palisades Collection Llc,1157CV000266,Civil,Disposed (Statistical Purposes),20110321,20110525
30,937701,Palisades Collection Llc,1157CV000267,Civil,Disposed (Statistical Purposes),20110321,20110428
31,940058,Palisades Collection Llc,1157CV000268,Civil,Disposed (Statistical Purposes),20110321,20120402
32,941472,Palisades Collection Llc,1157CV000269,Civil,Disposed (Statistical Purposes),20110321,20110602
33,942604,Palisades Collection Llc,1157CV000270,Civil,Disposed (Statistical Purposes),20110321,20110601
34,944623,Palisades Collection Llc,1157CV000271,Civil,Disposed (Statistical Purposes),20110321,20110524
35,947865,Palisades Collection Llc,1157CV000272,Civil,Disposed (Statistical Purposes),20110321,20140717
36,963095,Palisades Collection Llc,1111SP000745,Supplementary Process,Disposed (Statistical Purposes),20110620,20110823
37,982542,Palisades Collection Llc,1449SP000001,Supplementary Process,Disposed (Statistical Purposes),20140102,20140221
38,1032184,Palisades Collection Llc,1134SC000342,Small Claims,Disposed (Statistical Purposes),20110411,20110523
39,1034724,Palisades Collection Llc,1041CV000101,Civil,Disposed (Statistical Purposes),20100330,20100611
40,1160765,Palisades Collection Llc,1462CV000955,Civil,Disposed (Statistical Purposes),20140602,20150616
41,1199136,Palisades Collection Llc,1041SP000124,Supplementary Process,Disposed (Statistical Purposes),20100521,20100521
42,1227091,Palisades Collection Llc,1157CV000301,Civil,Disposed (Statistical Purposes),20110329,20110509
43,1238158,Palisades Collection Llc,1041CV000229,Civil,Disposed (Statistical Purposes),20100614,20101006
44,1248487,Palisades Collection Llc,1014SP000586,Supplementary Process,Disposed (Statistical Purposes),20100920,20110121
45,1255927,Palisades Collection Llc,1031CV000208,Civil,Disposed (Statistical Purposes),20100208,20140530
46,1379463,Palisades Collection Llc,1038SC000099,Small Claims,Disposed (Statistical Purposes),20100211,20100426
47,1379540,Palisades Collection Llc,1038SC000100,Small Claims,Disposed (Statistical Purposes),20100211,20100426
48,1381866,Palisades Collection Llc,1034CV000157,Civil,Disposed (Statistical Purposes),20100208,20100713
49,1396126,Palisades Collection Llc,1051CV000046,Civil,Disposed (Statistical Purposes),20100120,20100202
0,1444514,Palisades Collection Llc,1131CV000346,Civil,Disposed (Statistical Purposes),20110322,20110826
1,1446649,Palisades Collection Llc,1131CV000347,Civil,Disposed (Statistical Purposes),20110322,20120522
2,1447655,Palisades Collection Llc,1131CV000348,Civil,Disposed (Statistical Purposes),20110322,20111005
3,1449650,Palisades Collection Llc,1131CV000349,Civil,Disposed (Statistical Purposes),20110322,20111006
4,1453636,Palisades Collection Llc,1131CV000351,Civil,Disposed (Statistical Purposes),20110322,20140408
5,1455477,Palisades Collection Llc,1131CV000352,Civil,Disposed (Statistical Purposes),20110322,20110916
6,1531003,Palisades Collection Llc,1033SP000543,Supplementary Process,Disposed (Statistical Purposes),20100702,20101019
7,1572076,Palisades Collection Llc,1150CV001193,Civil,Disposed (Statistical Purposes),20110829,20140211
8,1578112,Palisades Collection Llc,1431CV000355,Civil,Disposed (Statistical Purposes),20140428,20150304
9,1578669,Palisades Collection Llc,1150CV001196,Civil,Disposed (Statistical Purposes),20110829,20121031
10,1580803,Palisades Collection Llc,1143CV000520,Civil,Disposed (Statistical Purposes),20111101,20140514
11,1586825,Palisades Collection Llc,1156SC000360,Small Claims,Disposed (Statistical Purposes),20110124,20110307
12,1590711,Palisades Collection Llc,1156SC000361,Small Claims,Disposed (Statistical Purposes),20110124,20110308
13,1615610,Palisades Collection Llc,1156SC000364,Small Claims,Disposed (Statistical Purposes),20110124,20110307
14,1668732,Palisades Collection Llc,1210CV000549,Civil,Disposed (Statistical Purposes),20120820,20121106
15,1733023,Palisades Collection Llc,1135CV000012,Civil,Disposed (Statistical Purposes),20110201,20110317
16,1733395,Palisades Collection Llc,1135CV000013,Civil,Disposed (Statistical Purposes),20110201,20110322
17,1733620,Palisades Collection Llc,1135CV000014,Civil,Disposed (Statistical Purposes),20110201,20110317
18,1745397,Palisades Collection Llc,1114CV000072,Civil,Disposed (Statistical Purposes),20110131,20110428
19,1769291,Palisades Collection Llc,1243CV000391,Civil,Disposed (Statistical Purposes),20120924,20140627
20,1826963,Palisades Collection Llc,1160SP000175,Supplementary Process,Disposed (Statistical Purposes),20110314,20121206
21,1889616,Palisades Collection Llc,1210CV000624,Civil,Disposed (Statistical Purposes),20120924,20121030
22,1891963,Palisades Collection Llc,1156CV000324,Civil,Disposed (Statistical Purposes),20110203,20110314
23,1908065,Palisades Collection Llc,1210SP000063,Supplementary Process,Pending,20120216,20120216
