,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,70993510,Sierra Pacific Mortgage Company Inc.,16 SM 005269,Servicemembers,Open,20160520,20160520
1,80416983,"Sierra Pacific Mortgage Company, Inc.",2125SP000024,Supplementary Process,Open,20211116,20211116
2,80419292,"Sierra Pacific Mortgage Company, Inc.",2125SP000025,Supplementary Process,Open,20211116,20211116
3,82403618,"Sierra Pacific Mortgage Company, Inc.",17 SM 003952,Servicemembers,Closed,20170501,20171108
4,84132048,"Sierra Pacific Mortgage Company, Inc.",19 SM 005156,Servicemembers,Open,20191029,20191029
5,86708938,"Sierra Pacific Mortgage Company, Inc.",18 SM 007812,Servicemembers,Closed,20181213,20190417
