,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,12353,"Cavalry Portfolio Services,LLC",1127SC001067,Small Claims,Disposed (Statistical Purposes),20111018,20111208
1,256389,"Cavalry Portfolio Services,LLC",1359SP000264,Supplementary Process,Disposed (Statistical Purposes),20130726,20140129
2,3964967,"Cavalry Portfolio Services,LLC",1223SC000185,Small Claims,Disposed (Statistical Purposes),20120120,20120517
3,4178294,"Cavalry Portfolio Services,LLC",1227SC000050,Small Claims,Disposed (Statistical Purposes),20120120,20120518
4,4180613,"Cavalry Portfolio Services,LLC",1227SC000051,Small Claims,Disposed (Statistical Purposes),20120120,20120302
5,5947287,"Cavalry Portfolio Services,LLC",1222CV000040,Civil,Disposed (Statistical Purposes),20120126,20120507
6,8075517,"Cavalry Portfolio Services,LLC",1220SP000101,Supplementary Process,Disposed (Statistical Purposes),20120608,20120806
7,9039361,"Cavalry Portfolio Services,LLC",1259SP000294,Supplementary Process,Pending,20120502,20120502
8,10043204,"Cavalry Portfolio Services,LLC",1127SC001287,Small Claims,Disposed (Statistical Purposes),20111209,20120203
9,10775670,"Cavalry Portfolio Services,LLC",1132CV000788,Civil,Disposed (Statistical Purposes),20110714,20110818
10,18504588,"Cavalry Portfolio Services,LLC",1107SC001814,Small Claims,Disposed (Statistical Purposes),20111219,20120329
11,22093154,"Cavalry Portfolio Services,LLC",1525SP000171,Supplementary Process,Pending,20151029,20151029
12,77241218,"Cavalry Portfolio Services,LLC",1750SC002632,Small Claims,Disposed (Statistical Purposes),20171115,20180424
13,77298470,"Cavalry Portfolio Services,LLC",1727SC001443,Small Claims,Disposed (Statistical Purposes),20171124,20171228
14,77298518,"Cavalry Portfolio Services,LLC",1727SC001440,Small Claims,Disposed (Statistical Purposes),20171124,20171227
15,77298909,"Cavalry Portfolio Services,LLC",1727SC001442,Small Claims,Disposed (Statistical Purposes),20171124,20180425
16,77298953,"Cavalry Portfolio Services,LLC",1727SC001444,Small Claims,Disposed (Statistical Purposes),20171124,20171227
17,77299143,"Cavalry Portfolio Services,LLC",1727SC001445,Small Claims,Disposed (Statistical Purposes),20171124,20171227
18,77299483,"Cavalry Portfolio Services,LLC",1727SC001439,Small Claims,Disposed (Statistical Purposes),20171124,20171227
19,77304036,"Cavalry Portfolio Services,LLC",1727SC001475,Small Claims,Disposed (Statistical Purposes),20171205,20171214
20,77304139,"Cavalry Portfolio Services,LLC",1727SC001474,Small Claims,Disposed (Statistical Purposes),20171205,20180105
21,77304171,"Cavalry Portfolio Services,LLC",1727SC001477,Small Claims,Disposed (Statistical Purposes),20171205,20180103
