company_name,-111,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
./bank_as_plantiff/bank_of_america.csv,5,,,,1,,1065,1854,2005,1272,2299,2030,2083,3241,659,531,1592,1739,2124,2049,379,618,3666,229,
./bank_as_plantiff/berkshire_bank.csv,,,,,,,34,48,30,33,41,18,31,59,79,45,37,65,29,36,70,30,18,11,
./bank_as_plantiff/chase_bank.csv,,,,,3,,396,818,2390,2201,4689,6233,2051,2959,1501,1270,720,448,232,164,98,91,669,92,
./bank_as_plantiff/citizen_bank.csv,,,,,5,,224,336,259,63,51,44,43,32,33,41,307,342,202,182,150,53,123,9,
./bank_as_plantiff/eastern_bank.csv,,,,,10,,351,274,434,584,637,530,174,125,127,49,73,68,72,76,114,52,50,4,
./bank_as_plantiff/manufacturers_and_traders_trust_company_massachusetts.csv,,,,,,,9,3,7,2,1,1,1,1,1,,1,6,,,1,,,,
./bank_as_plantiff/middlesex_saving.csv,,,,,1,,69,44,18,21,28,44,68,38,30,38,28,37,25,21,14,1,3,,
./bank_as_plantiff/rockland_trust.csv,,,,,1,,307,316,306,303,378,297,204,138,105,210,220,126,87,40,33,16,14,2,
./bank_as_plantiff/santander.csv,,,,,,,,,,,1,2,1,13,27,320,397,311,222,101,126,37,24,9,
./bank_as_plantiff/td_bank.csv,2,,,,,,94,174,212,278,332,309,283,309,374,936,640,552,1978,1408,1322,248,518,113,
