"post_id","party_name","case_number","case_type","case_status","file_date","status_date"
54719414,Citizen Bank Of Massachusetts,"07 MISC 337834",Servicemembers,Closed,20070104,20070403
54730149,Citizen Bank Of Massachusetts,"07 MISC 337828",Servicemembers,Closed,20070104,20150211
54753307,Citizen Bank Of Massachusetts,"07 MISC 337827",Servicemembers,Closed,20070104,20150211
54759291,Citizen Bank Of Massachusetts,"07 MISC 337835",Servicemembers,Closed,20070104,20150211
186640,"RBS Citizens Bank, NA","1216SP000184",Supplementary Process,Disposed (Statistical Purposes),20120816,20130325
27714998,"RBS Citizens Bank, NA","0816CV000228",Civil,Disposed (Statistical Purposes),20080331,20080918
28182067,"RBS Citizens Bank, NA","0717CV000532",Civil,Disposed (Statistical Purposes),20071226,20081031
47719784,"RBS Citizens Bank, NA","1086CV000456",Civil,Disposed (Statistical Purposes),20100621,20101228
66922698,"RBS Citizens Bank, NA","0884CV01456",Contract / Business Cases,Closed,20080331,20090810
873196,Citizens Bank,"1257SP000163",Supplementary Process,Pending,20120410,20120410
5005148,Citizens Bank,"1050SP000648",Supplementary Process,Disposed (Statistical Purposes),20100707,20100830
7193769,Citizens Bank,"1014SP000287",Supplementary Process,Disposed (Statistical Purposes),20100501,20100825
8299382,Citizens Bank,"1113CV000541",Civil,Disposed (Statistical Purposes),20110414,20111229
8397976,Citizens Bank,"1459SP000315",Supplementary Process,Disposed (Statistical Purposes),20141010,20150304
10389537,Citizens Bank,"1487SP000053",Supplementary Process,Disposed (Statistical Purposes),20141202,20150226
11372750,Citizens Bank,"1010CV000302",Civil,Disposed (Statistical Purposes),20100319,20100601
11713051,Citizens Bank,"1065SP000047",Supplementary Process,Disposed (Statistical Purposes),20100304,20100329
14097674,Citizens Bank,"13 MISC 475303",Servicemembers,Closed,20130104,20130507
15042702,Citizens Bank,"1032SP000068",Supplementary Process,Disposed (Statistical Purposes),20100125,20100402
17312934,Citizens Bank,"1059SP000133",Supplementary Process,Disposed (Statistical Purposes),20100222,20100503
18499439,Citizens Bank,"1006SP000275",Supplementary Process,Disposed (Statistical Purposes),20100413,20100707
19931575,Citizens Bank,"0607SP000938",Supplementary Process,Disposed (Statistical Purposes),20061107,20070208
19981639,Citizens Bank,"0607CV000131",Civil,Disposed (Statistical Purposes),20060222,20060821
20301665,Citizens Bank,"0707SP001115",Supplementary Process,Disposed (Statistical Purposes),20071221,20080410
20558001,Citizens Bank,"0702SP000289",Supplementary Process,Pending,20070605,20070605
20717003,Citizens Bank,"0706SP000107",Supplementary Process,Disposed (Statistical Purposes),20070206,20070622
20789961,Citizens Bank,"0648SP000051",Supplementary Process,Disposed (Statistical Purposes),20060331,20060523
21033547,Citizens Bank,"0806SP000094",Supplementary Process,Disposed (Statistical Purposes),20080201,20080408
21255456,Citizens Bank,"0602SP000109",Supplementary Process,Disposed (Statistical Purposes),20060302,20060515
21658436,Citizens Bank,"0564CV000034",Civil,Disposed (Statistical Purposes),20050118,20051207
