"post_id","party_name","case_number","case_type","case_status","file_date","status_date"
68162437,Middlesex Savings Bank,"0985CV02951",Contract / Business Cases,Closed,20091217,20100402
68165447,Middlesex Savings Bank,"1687CV000091",Civil,Pending,20160928,20160928
68236843,Middlesex Savings Bank,"0985CV02079",Equitable Remedies,Closed,20090904,20091023
68252081,Middlesex Savings Bank,"0981CV00546",Contract / Business Cases,Closed,20090211,20100614
68254793,Middlesex Savings Bank,"1687CV000084",Civil,Pending,20160912,20160912
68264229,Middlesex Savings Bank,"0985CV02571",Contract / Business Cases,Closed,20091102,20110414
68464434,Middlesex Savings Bank,"0985CV01999",Contract / Business Cases,Closed,20090826,20101223
68474476,Middlesex Savings Bank,"1387CV000075",Civil,Disposed (Statistical Purposes),20130618,20130701
68561745,Middlesex Savings Bank,"1387CV000063",Civil,Disposed (Statistical Purposes),20130531,20140729
68563732,Middlesex Savings Bank,"1687CV000059",Civil,Pending,20160609,20160609
68670920,Middlesex Savings Bank,"1687CV000048",Civil,Disposed (Statistical Purposes),20160518,20160915
68833357,Middlesex Savings Bank,"0881CV04885",Contract / Business Cases,Closed,20081230,20100330
68834166,Middlesex Savings Bank,"0985CV01089",Contract / Business Cases,Closed,20090514,20100326
69142121,Middlesex Savings Bank,"0684CV04710",Contract / Business Cases,Closed,20061109,20080908
69191084,Middlesex Savings Bank,"0985CV00125",Real Property,Closed,20090120,20090304
69391817,Middlesex Savings Bank,"0881CV02139",Contract / Business Cases,Closed,20080604,20091001
69468188,Middlesex Savings Bank,"0881CV01136",Contract / Business Cases,Closed,20080320,20080620
69644272,Middlesex Savings Bank,"0885CV02004",Contract / Business Cases,Closed,20080912,20100915
69644866,Middlesex Savings Bank,"0885CV02005",Contract / Business Cases,Closed,20080912,20081210
69708349,Middlesex Savings Bank,"0781CV04542",Contract / Business Cases,Closed,20071120,20090717
69813322,Middlesex Savings Bank,"0881CV01937",Contract / Business Cases,Closed,20080516,20080908
70049706,Middlesex Savings Bank,"0885CV02624",Contract / Business Cases,Closed,20081201,20090210
70485651,Middlesex Savings Bank,"0885CV01574",Contract / Business Cases,Open,20080716,20090817
71163084,Middlesex Savings Bank,"1672CV00403",Real Property,Open,20160824,20160824
71189028,Middlesex Savings Bank,"0685CV01618",Contract / Business Cases,Closed,20060803,20091217
71233448,Middlesex Savings Bank,"1681CV00513",Real Property,Open,20160222,20160222
71480909,Middlesex Savings Bank,"1681CV00393",Contract / Business Cases,Closed,20160212,20160602
71871439,Middlesex Savings Bank,"0581CV03392",Contract / Business Cases,Closed,20050926,20060607
72016180,Middlesex Savings Bank,"0685CV00190",Contract / Business Cases,Open,20060127,20060621
72132422,Middlesex Savings Bank,"1581CV05860",Real Property,Closed,20151001,20151221
72271519,Middlesex Savings Bank,"0581CV02664",Contract / Business Cases,Closed,20050802,20060804
72677371,Middlesex Savings Bank,"1649CV000350",Civil,Disposed (Statistical Purposes),20160804,20160819
72971178,Middlesex Savings Bank,"1581CV06004",Real Property,Closed,20151013,20151207
73420094,Middlesex Savings Bank,"1581CV02825",Real Property,Closed,20150430,20150706
73941899,Middlesex Savings Bank,"1282CV01405",Real Property,Closed,20120828,20130319
74290147,Middlesex Savings Bank,"1581CV04920",Real Property,Closed,20150706,20150831
75123301,Middlesex Savings Bank,"1283CV00347",Real Property,Closed,20120319,20120521
75163992,Middlesex Savings Bank,"1682CV00043",Real Property,Open,20160114,20160114
75281373,Middlesex Savings Bank,"1182CV00610",Real Property,Closed,20110425,20110714
75333717,Middlesex Savings Bank,"1685CV00162",Contract / Business Cases,Open,20160202,20160202
75433038,Middlesex Savings Bank,"1585CV01446",Contract / Business Cases,Open,20150908,20150908
76014665,Middlesex Savings Bank,"10 MISC 435970",Servicemembers,Closed,20100805,20101123
76463214,Middlesex Savings Bank,"0977CV02110",Real Property,Closed,20091102,20091228
76568955,Middlesex Savings Bank,"1582CV00202",Real Property,Closed,20150217,20150520
76865400,Middlesex Savings Bank,"09 MISC 401502",Servicemembers,Closed,20090521,20091027
76971071,Middlesex Savings Bank,"0881CV01734",Contract / Business Cases,Closed,20080501,20080912
77304464,Middlesex Savings Bank,"1766SC000691",Small Claims,Disposed (Statistical Purposes),20171027,20180109
77304502,Middlesex Savings Bank,"1766SC000690",Small Claims,Disposed (Statistical Purposes),20171027,20180109
77304598,Middlesex Savings Bank,"1766SC000689",Small Claims,Disposed (Statistical Purposes),20171027,20180109
77530895,Middlesex Savings Bank,"1987CV000055",Civil,Disposed (Statistical Purposes),20190816,20200205
77560245,Middlesex Savings Bank,"1987CV000076",Civil,Closed,20191021,20200129
77776989,Middlesex Savings Bank,"1887CV000128",Civil,Disposed (Statistical Purposes),20181130,20191210
77779908,Middlesex Savings Bank,"1849CV000311",Civil,Disposed (Statistical Purposes),20180621,20180824
77796065,Middlesex Savings Bank,"1849SC000596",Small Claims,Closed (Transferred),20180702,20190122
77815539,Middlesex Savings Bank,"1987CV000007",Civil,Disposed (Statistical Purposes),20190117,20190605
77822209,Middlesex Savings Bank,"1785CV01168",Real Property,Open,20170718,20170718
77889033,Middlesex Savings Bank,"1849CV000376",Civil,Disposed (Statistical Purposes),20180802,20181005
78056098,Middlesex Savings Bank,"1987CV000016",Civil,Disposed (Statistical Purposes),20190219,20190605
78072417,Middlesex Savings Bank,"1987SC000055",Small Claims,Disposed (Statistical Purposes),20190322,20190501
78082208,Middlesex Savings Bank,"1987CV000028",Civil,Disposed (Statistical Purposes),20190408,20190828
78107198,Middlesex Savings Bank,"0681CV00905",Contract / Business Cases,Closed,20060313,20070105
78585423,Middlesex Savings Bank,"1748CV000102",Civil,Disposed (Statistical Purposes),20170424,20210824
79017656,Middlesex Savings Bank,"09 MISC 416425",Servicemembers,Closed,20091116,20100323
79083065,Middlesex Savings Bank,"1747CV000215",Civil,Disposed (Statistical Purposes),20170824,20171116
79249926,Middlesex Savings Bank,"1766SC000812",Small Claims,Closed,20171213,20180327
80029779,Middlesex Savings Bank,"1721CV000058",Civil,Disposed (Statistical Purposes),20170303,20170424
80240694,Middlesex Savings Bank,"1757SC000721",Small Claims,Disposed (Statistical Purposes),20171027,20180223
80243977,Middlesex Savings Bank,"1757SC000720",Small Claims,Disposed (Statistical Purposes),20171027,20171207
80748991,Middlesex Savings Bank,"1687CV000117",Civil,Disposed (Statistical Purposes),20161122,20170113
80775669,Middlesex Savings Bank,"2154CV000585",Civil,Disposed (Statistical Purposes),20211103,20220128
80779038,Middlesex Savings Bank,"1687CV000122",Civil,Disposed (Statistical Purposes),20161129,20170623
80782537,Middlesex Savings Bank,"1687CV000123",Civil,Open,20161201,20161201
80865839,Middlesex Savings Bank,"1747SC000520",Small Claims,Disposed (Statistical Purposes),20171027,20180109
80866937,Middlesex Savings Bank,"1747SC000521",Small Claims,Covid 19 XXX Notice Issued,20171027,20201230
80873052,Middlesex Savings Bank,"1687CV000133",Civil,Disposed (Statistical Purposes),20161230,20170706
82582428,Middlesex Savings Bank,"1762CV000696",Civil,Disposed (Statistical Purposes),20170602,20180430
82706303,Middlesex Savings Bank,"1949SC000574",Small Claims,Closed,20190624,20190731
82865903,Middlesex Savings Bank,"1962CV001021",Civil,Disposed (Statistical Purposes),20190930,20210303
83175851,Middlesex Savings Bank,"17 SM 001078",Servicemembers,Closed,20170206,20170901
