"post_id","party_name","case_number","case_type","case_status","file_date","status_date"
8938,"Chase Bank Usa, N. A. ,","1007CV001175",Civil,Disposed (Statistical Purposes),20100929,20101215
14970,"Chase Bank Usa, N.A.","1088CV000109",Civil,Disposed (Statistical Purposes),20100720,20101023
19198,"Chase Bank Usa, N.A.","1063CV000082",Civil,Disposed (Statistical Purposes),20100315,20100428
21580,"Chase Bank Usa, N.A.","1134CV000209",Civil,Disposed (Statistical Purposes),20110224,20120517
22703,"Chase Bank Usa, N.A.","1134CV000210",Civil,Disposed (Statistical Purposes),20110224,20110630
24769,"Chase Bank Usa, N.A.","1063CV000085",Civil,Disposed (Statistical Purposes),20100317,20100817
25329,"Chase Bank Usa, N.A.","1134CV000212",Civil,Disposed (Statistical Purposes),20110224,20110425
25446,"Chase Bank Usa, N.A.","1063CV000087",Civil,Disposed (Statistical Purposes),20100317,20100427
29274,"Chase Bank Usa, N.A.","1056CV001922",Civil,Disposed (Statistical Purposes),20100625,20100928
30283,"Chase Bank Usa, N.A.","1056CV001925",Civil,Disposed (Statistical Purposes),20100625,20100924
30920,"Chase Bank Usa, N.A.","1053CV000181",Civil,Disposed (Statistical Purposes),20100202,20100401
33669,"Chase Bank Usa, N.A.","1053CV000182",Civil,Disposed (Statistical Purposes),20100202,20100330
36802,"Chase Bank Usa, N.A.","1014CV000770",Civil,Disposed (Statistical Purposes),20100714,20110706
36924,"Chase Bank Usa, N.A.","1023CV001811",Civil,Disposed (Statistical Purposes),20100713,20101026
40393,"Chase Bank Usa, N.A.","1063CV000108",Civil,Disposed (Statistical Purposes),20100326,20101028
52447,"Chase Bank Usa, N.A.","1063CV000124",Civil,Disposed (Statistical Purposes),20100408,20100831
53818,"Chase Bank Usa, N.A.","1157CV000137",Civil,Disposed (Statistical Purposes),20110215,20110601
54194,"Chase Bank Usa, N.A.","1056CV001943",Civil,Disposed (Statistical Purposes),20100628,20100929
61867,"Chase Bank Usa, N.A.","1063CV000130",Civil,Disposed (Statistical Purposes),20100412,20100518
64192,"Chase Bank Usa, N.A.","1134CV000235",Civil,Disposed (Statistical Purposes),20110302,20120420
64998,"Chase Bank Usa, N.A.","1134CV000236",Civil,Disposed (Statistical Purposes),20110302,20110420
76093,"Chase Bank Usa, N.A.","1068CV000144",Civil,Disposed (Statistical Purposes),20100329,20101025
82795,"Chase Bank Usa, N.A.","1068CV000154",Civil,Disposed (Statistical Purposes),20100331,20100702
99382,"Chase Bank Usa, N.A.","1111CV000457",Civil,Disposed (Statistical Purposes),20110214,20121121
99720,"Chase Bank Usa, N.A.","1111CV000458",Civil,Disposed (Statistical Purposes),20110214,20120913
106763,"Chase Bank Usa, N.A.","1067CV000833",Civil,Disposed (Statistical Purposes),20101103,20110317
107899,"Chase Bank Usa, N.A.","1067CV000834",Civil,Disposed (Statistical Purposes),20101103,20110125
110232,"Chase Bank Usa, N.A.","1134CV000258",Civil,Disposed (Statistical Purposes),20110310,20121001
111148,"Chase Bank Usa, N.A.","1134CV000259",Civil,Disposed (Statistical Purposes),20110310,20110531
124775,"Chase Bank Usa, N.A.","1111CV000471",Civil,Disposed (Statistical Purposes),20110218,20111020
125263,"Chase Bank Usa, N.A.","1111CV000472",Civil,Disposed (Statistical Purposes),20110218,20110823
125678,"Chase Bank Usa, N.A.","1111CV000473",Civil,Disposed (Statistical Purposes),20110218,20110823
126187,"Chase Bank Usa, N.A.","1111CV000474",Civil,Disposed (Statistical Purposes),20110218,20110516
126386,"Chase Bank Usa, N.A.","1111CV000475",Civil,Disposed (Statistical Purposes),20110218,20120730
126735,"Chase Bank Usa, N.A.","1111CV000476",Civil,Disposed (Statistical Purposes),20110218,20130115
132587,"Chase Bank Usa, N.A.","1122CV000163",Civil,Disposed (Statistical Purposes),20110322,20111017
