"post_id","party_name","case_number","case_type","case_status","file_date","status_date"
119154,Bank Of America,"1169CV000245",Civil,Disposed (Statistical Purposes),20110511,20110920
180206,Bank Of America,"1063CV000145",Civil,Disposed (Statistical Purposes),20100420,20100908
180588,Bank Of America,"1063CV000146",Civil,Disposed (Statistical Purposes),20100420,20100916
1645807,Bank Of America,"1051SP000014",Supplementary Process,Disposed (Statistical Purposes),20100122,20100607
1694523,Bank Of America,"1057CV000003",Civil,Disposed (Statistical Purposes),20100104,20100225
1793558,Bank Of America,"1134SP000219",Supplementary Process,Disposed (Statistical Purposes),20110520,20110919
1924072,Bank Of America,"1051SP000035",Supplementary Process,Disposed (Statistical Purposes),20100129,20100407
1948904,Bank Of America,"11H77CV000157",Housing Court Civil,Closed,20110824,20110831
2281512,Bank Of America,"12H84SP005196",Housing Court Summary Process,Active,20121228,20121228
3295151,Bank Of America,"11H77SP004378",Housing Court Summary Process,Closed,20111201,20111215
3551950,Bank Of America,"1057SP000108",Supplementary Process,Disposed (Statistical Purposes),20100308,20100311
3782110,Bank Of America,"1118CV001143",Civil,Disposed (Statistical Purposes),20110818,20120103
4152858,Bank Of America,"1013SP001058",Supplementary Process,Disposed (Statistical Purposes),20101110,20110218
4185655,Bank Of America,"1085CV00918",Contract / Business Cases,Closed,20100427,20101013
4500056,Bank Of America,"1123SP001028",Supplementary Process,Disposed (Statistical Purposes),20111114,20111229
4547498,Bank Of America,"1252SP000345",Supplementary Process,Disposed (Statistical Purposes),20121226,20140102
5041866,Bank Of America,"13H84SP005492",Housing Court Summary Process,Closed,20131223,20140106
5103570,Bank Of America,"1414SP000122",Supplementary Process,Disposed (Statistical Purposes),20140715,20140926
5697923,Bank Of America,"1223SU000052",Summary Process,Disposed (Statistical Purposes),20120430,20120508
5717608,Bank Of America,"1050SP000882",Supplementary Process,Disposed (Statistical Purposes),20100902,20101029
5803317,Bank Of America,"1073CV00250",Real Property,Closed,20100301,20100517
5810183,Bank Of America,"1209SP000010",Supplementary Process,Disposed (Statistical Purposes),20120330,20120517
5818764,Bank Of America,"1073CV00271",Real Property,Closed,20100304,20100512
6091415,Bank Of America,"1223SU000079",Summary Process,Disposed (Statistical Purposes),20120618,20120711
6132958,Bank Of America,"1052CV000578",Civil,Disposed (Statistical Purposes),20100518,20100716
6213844,Bank Of America,"1025SP001396",Supplementary Process,Disposed (Statistical Purposes),20100726,20110329
6731613,Bank Of America,"1014SP000046",Supplementary Process,Disposed (Statistical Purposes),20100120,20101005
6856780,Bank Of America,"1014SP000058",Supplementary Process,Disposed (Statistical Purposes),20100125,20100513
6918001,Bank Of America,"1213SU000025",Summary Process,Disposed (Statistical Purposes),20120117,20120127
7655872,Bank Of America,"1123CV000061",Civil,Disposed (Statistical Purposes),20110110,20110317
7862892,Bank Of America,"1020CV000240",Civil,Disposed (Statistical Purposes),20100420,20100615
7863193,Bank Of America,"1020CV000241",Civil,Disposed (Statistical Purposes),20100420,20100615
8155136,Bank Of America,"1036CV000258",Civil,Disposed (Statistical Purposes),20100222,20100525
8308210,Bank Of America,"1034CV000499",Civil,Disposed (Statistical Purposes),20100422,20100830
8469944,Bank Of America,"1055CV000594",Civil,Disposed (Statistical Purposes),20100706,20100929
8570849,Bank Of America,"1053SP000242",Supplementary Process,Disposed (Statistical Purposes),20100401,20100608
8680167,Bank Of America,"1047SP000118",Supplementary Process,Disposed (Statistical Purposes),20100503,20100901
8828222,Bank Of America,"1126SP000059",Supplementary Process,Disposed (Statistical Purposes),20110307,20110422
9274870,Bank Of America,"1150SP000004",Supplementary Process,Disposed (Statistical Purposes),20110103,20110203
9316268,Bank Of America,"10H77SP000318",Housing Court Summary Process,Closed,20100201,20100219
9540472,Bank Of America,"1058CV000470",Civil,Disposed (Statistical Purposes),20100514,20110404
9887701,Bank Of America,"1017SP000081",Supplementary Process,Disposed (Statistical Purposes),20100504,20101103
9925377,Bank Of America,"1007CV000026",Civil,Disposed (Statistical Purposes),20100105,20101019
10218620,Bank Of America,"1249SP000206",Supplementary Process,Disposed (Statistical Purposes),20120518,20120712
10543568,Bank Of America,"11H85SP002639",Housing Court Summary Process,Closed,20110721,20110808
11499641,Bank Of America,"1048SP000164",Supplementary Process,Pending,20100614,20100614
11644329,Bank Of America,"1025CV000008",Civil,Disposed (Statistical Purposes),20100104,20100709
11672348,Bank Of America,"1059CV001276",Civil,Disposed (Statistical Purposes),20100728,20100915
11793186,Bank Of America,"1234SP000003",Supplementary Process,Disposed (Statistical Purposes),20120103,20120409
11939359,Bank Of America,"1052CV000902",Civil,Disposed (Statistical Purposes),20100803,20101203
11969614,Bank Of America,"12H79SP004020",Housing Court Summary Process,Active,20120912,20120912
11991918,Bank Of America,"1049SP000417",Supplementary Process,Disposed (Statistical Purposes),20100729,20100924
12187052,Bank Of America,"10H77SP000975",Housing Court Summary Process,Closed,20100405,20100415
12251519,Bank Of America,"1121SP000142",Supplementary Process,Disposed (Statistical Purposes),20110705,20110923
12281049,Bank Of America,"1052SP000326",Supplementary Process,Disposed (Statistical Purposes),20100823,20111004
12370475,Bank Of America,"1052SP000361",Supplementary Process,Disposed (Statistical Purposes),20100831,20101119
12646421,Bank Of America,"1054SP000320",Supplementary Process,Disposed (Statistical Purposes),20100729,20101021
12940715,Bank Of America,"1052SP000409",Supplementary Process,Disposed (Statistical Purposes),20101019,20110125
12968369,Bank Of America,"1049SP000611",Supplementary Process,Disposed (Statistical Purposes),20101019,20101202
13115015,Bank Of America,"1052SP000422",Supplementary Process,Disposed (Statistical Purposes),20101109,20110104
13169564,Bank Of America,"1025SU000280",Summary Process,Disposed (Statistical Purposes),20100216,20100326
13339071,Bank Of America,"1011CV000631",Civil,Disposed (Statistical Purposes),20100226,20110120
13730920,Bank Of America,"10H77SP001982",Housing Court Summary Process,Closed,20100702,20100720
14259177,Bank Of America,"10H85SP002365",Housing Court Summary Process,Active,20100702,20100702
14509604,Bank Of America,"10H77SP001847",Housing Court Summary Process,Closed,20100621,20100720
14530910,Bank Of America,"1051SP000375",Supplementary Process,Pending,20100927,20100927
14560532,Bank Of America,"1050SP000426",Supplementary Process,Disposed (Statistical Purposes),20100504,20100730
14616170,Bank Of America,"1044SP000102",Supplementary Process,Disposed (Statistical Purposes),20100226,20100826
14733376,Bank Of America,"1021CV000122",Civil,Disposed (Statistical Purposes),20100219,20100412
15096351,Bank Of America,"1087SP000022",Supplementary Process,Disposed (Statistical Purposes),20100208,20100223
15179099,Bank Of America,"1087SU000019",Summary Process,Disposed (Statistical Purposes),20100628,20100708
15207867,Bank Of America,"1225SU000567",Summary Process,Pending,20120904,20120904
15253262,Bank Of America,"1149CV000184",Civil,Disposed (Statistical Purposes),20110224,20110729
15478069,Bank Of America,"1033SP000408",Supplementary Process,Disposed (Statistical Purposes),20100510,20100831
15601189,Bank Of America,"10H85SP003679",Housing Court Summary Process,Active,20100923,20100923
15604428,Bank Of America,"10H85SP003680",Housing Court Summary Process,Closed,20100923,20110228
15615639,Bank Of America,"1032CV000716",Civil,Disposed (Statistical Purposes),20100420,20100615
15617751,Bank Of America,"1032CV000718",Civil,Disposed (Statistical Purposes),20100420,20100603
15866030,Bank Of America,"1032SP000434",Supplementary Process,Pending,20100514,20100514
15940144,Bank Of America,"1006SP000099",Supplementary Process,Disposed (Statistical Purposes),20100208,20100708
16073595,Bank Of America,"1032SP000552",Supplementary Process,Disposed (Statistical Purposes),20100615,20100921
16170417,Bank Of America,"1042CV000003",Civil,Disposed (Statistical Purposes),20100104,20100301
16322252,Bank Of America,"1018SP001368",Supplementary Process,Disposed (Statistical Purposes),20101230,20110420
16449420,Bank Of America,"1055SP000045",Supplementary Process,Disposed (Statistical Purposes),20100208,20100622
16488254,Bank Of America,"1026CV000215",Civil,Disposed (Statistical Purposes),20100415,20100816
16531567,Bank Of America,"1026CV000239",Civil,Disposed (Statistical Purposes),20100430,20100726
17165303,Bank Of America,"1117CV000127",Civil,Disposed (Statistical Purposes),20110531,20120110
17168621,Bank Of America,"1132SP000211",Supplementary Process,Disposed (Statistical Purposes),20110321,20110513
17240618,Bank Of America,"1059CV000007",Civil,Disposed (Statistical Purposes),20100104,20100622
17241003,Bank Of America,"1006CV000364",Civil,Disposed (Statistical Purposes),20100420,20100719
17295577,Bank Of America,"1059CV000280",Civil,Disposed (Statistical Purposes),20100218,20100805
17303473,Bank Of America,"1049CV000326",Civil,Disposed (Statistical Purposes),20100310,20100525
17400218,Bank Of America,"1059SP000363",Supplementary Process,Pending,20100430,20100430
17580980,Bank Of America,"1031CV000009",Civil,Disposed (Statistical Purposes),20100104,20100302
17679076,Bank Of America,"1218CV000249",Civil,Disposed (Statistical Purposes),20120307,20121227
18040629,Bank Of America,"1007SP000163",Supplementary Process,Disposed (Statistical Purposes),20100308,20101119
18050593,Bank Of America,"1002SC000233",Small Claims,Disposed (Statistical Purposes),20100526,20100726
18097408,Bank Of America,"1007SP000754",Supplementary Process,Disposed (Statistical Purposes),20100901,20101014
18237605,Bank Of America,"1102SP000017",Supplementary Process,Disposed (Statistical Purposes),20110110,20110217
18279727,Bank Of America,"1008SP000056",Supplementary Process,Disposed (Statistical Purposes),20100505,20101014
18352522,Bank Of America,"1273CV00548",Real Property,Open,20120524,20120723
18394781,Bank Of America,"1102SP000146",Supplementary Process,Pending,20110408,20110408
18394968,Bank Of America,"1185CV02095",Contract / Business Cases,Closed,20111019,20120207
18434292,Bank Of America,"1007SP001112",Supplementary Process,Disposed (Statistical Purposes),20101202,20110215
18734676,Bank Of America,"1006SP000118",Supplementary Process,Disposed (Statistical Purposes),20100218,20100616
18742490,Bank Of America,"1206CV000151",Civil,Disposed (Statistical Purposes),20120312,20120319
18756311,Bank Of America,"1007SP000531",Supplementary Process,Disposed (Statistical Purposes),20100621,20100903
18857841,Bank Of America,"1202SU000003",Summary Process,Disposed (Statistical Purposes),20120117,20120130
18894973,Bank Of America,"1177CV01719",Equitable Remedies,Closed,20110914,20130227
19021513,Bank Of America,"1202SP000035",Supplementary Process,Disposed (Statistical Purposes),20120222,20120614
19044944,Bank Of America,"1085CV02321",Contract / Business Cases,Closed,20101028,20130117
19116930,Bank Of America,"1206SP000143",Supplementary Process,Disposed (Statistical Purposes),20120320,20120705
19417609,Bank Of America,"1106SP000185",Supplementary Process,Disposed (Statistical Purposes),20110324,20130910
19544798,Bank Of America,"1002SP000428",Supplementary Process,Disposed (Statistical Purposes),20100730,20100909
19746382,Bank Of America,"0508CV000262",Civil,Disposed (Statistical Purposes),20050906,20051101
19762864,Bank Of America,"0608SP000122",Supplementary Process,Disposed (Statistical Purposes),20060823,20061013
19790005,Bank Of America,"0708SP000127",Supplementary Process,Disposed (Statistical Purposes),20070810,20071109
19790104,Bank Of America,"0708SP000126",Supplementary Process,Disposed (Statistical Purposes),20070810,20071109
19810376,Bank Of America,"0608CV000026",Civil,Disposed (Statistical Purposes),20060213,20060316
19854716,Bank Of America,"0507CV000719",Civil,Disposed (Statistical Purposes),20050616,20060517
19862031,Bank Of America,"0608SP000139",Supplementary Process,Disposed (Statistical Purposes),20061013,20090923
19877382,Bank Of America,"0708SP000012",Supplementary Process,Disposed (Statistical Purposes),20070126,20070419
19877612,Bank Of America,"0502CV000276",Civil,Disposed (Statistical Purposes),20050722,20050906
19881056,Bank Of America,"0508SP000138",Supplementary Process,Pending,20051215,20051215
19900817,Bank Of America,"0506SP000136",Supplementary Process,Disposed (Statistical Purposes),20050415,20080724
19903875,Bank Of America,"0608SP000167",Supplementary Process,Disposed (Statistical Purposes),20061201,20070418
19909610,Bank Of America,"0507CV001317",Civil,Disposed (Statistical Purposes),20051005,20051005
19911205,Bank Of America,"0608SC000490",Small Claims,Disposed (Statistical Purposes),20061206,20070405
19914785,Bank Of America,"0708SP000022",Supplementary Process,Disposed (Statistical Purposes),20070214,20070419
19931061,Bank Of America,"0507CV001429",Civil,Disposed (Statistical Purposes),20051103,20070102
19943468,Bank Of America,"0506SP000151",Supplementary Process,Disposed (Statistical Purposes),20050428,20050823
19945824,Bank Of America,"0608CV000099",Civil,Disposed (Statistical Purposes),20060502,20060623
19949315,Bank Of America,"0607CV000108",Civil,Disposed (Statistical Purposes),20060213,20070103
20001213,Bank Of America,"0506SP000316",Supplementary Process,Disposed (Statistical Purposes),20050822,20051031
20010220,Bank Of America,"0707SP000048",Supplementary Process,Disposed (Statistical Purposes),20070117,20070323
20076662,Bank Of America,"0602SP000546",Supplementary Process,Disposed (Statistical Purposes),20061020,20070216
20125515,Bank Of America,"0908SP000016",Supplementary Process,Disposed (Statistical Purposes),20090202,20101021
20134539,Bank Of America,"0707SP000988",Supplementary Process,Disposed (Statistical Purposes),20071105,20080207
20138322,Bank Of America,"0807SP000716",Supplementary Process,Disposed (Statistical Purposes),20080808,20081106
20141265,Bank Of America,"0707SP000989",Supplementary Process,Disposed (Statistical Purposes),20071105,20080207
20144975,Bank Of America,"0707SP000740",Supplementary Process,Disposed (Statistical Purposes),20070911,20090122
20162576,Bank Of America,"0807SP000628",Supplementary Process,Disposed (Statistical Purposes),20080721,20081010
20164714,Bank Of America,"0807SP000097",Supplementary Process,Disposed (Statistical Purposes),20080204,20080515
20173641,Bank Of America,"0807SP000101",Supplementary Process,Disposed (Statistical Purposes),20080204,20080515
20173779,Bank Of America,"0807CV001312",Civil,Disposed (Statistical Purposes),20080805,20081125
20202648,Bank Of America,"0807SP000433",Supplementary Process,Disposed (Statistical Purposes),20080606,20080807
20212158,Bank Of America,"0808SP000196",Supplementary Process,Disposed (Statistical Purposes),20081211,20091117
20222337,Bank Of America,"0606CV000004",Civil,Disposed (Statistical Purposes),20060103,20060223
20232428,Bank Of America,"0606CV000011",Civil,Disposed (Statistical Purposes),20060106,20060321
20260726,Bank Of America,"0606CV000027",Civil,Disposed (Statistical Purposes),20060112,20060412
20262690,Bank Of America,"0606CV000028",Civil,Disposed (Statistical Purposes),20060112,20061115
20274922,Bank Of America,"0707SP001109",Supplementary Process,Disposed (Statistical Purposes),20071219,20080403
20306126,Bank Of America,"0807SP000182",Supplementary Process,Disposed (Statistical Purposes),20080307,20080612
20320848,Bank Of America,"0606CV000043",Civil,Disposed (Statistical Purposes),20060124,20060321
20343278,Bank Of America,"0807SP000252",Supplementary Process,Disposed (Statistical Purposes),20080326,20080626
20353274,Bank Of America,"0802SP000232",Supplementary Process,Pending,20080506,20080506
20353464,Bank Of America,"0548CV000255",Civil,Disposed (Statistical Purposes),20050705,20060111
20366483,Bank Of America,"0506CV000827",Civil,Disposed (Statistical Purposes),20051118,20060518
20374769,Bank Of America,"0606CV000120",Civil,Disposed (Statistical Purposes),20060223,20060530
20382132,Bank Of America,"0606CV000164",Civil,Disposed (Statistical Purposes),20060308,20060807
20382433,Bank Of America,"0702SP000557",Supplementary Process,Disposed (Statistical Purposes),20071002,20080324
20447979,Bank Of America,"0707SP000543",Supplementary Process,Disposed (Statistical Purposes),20070629,20071005
20455108,Bank Of America,"0807SP000836",Supplementary Process,Disposed (Statistical Purposes),20080930,20081204
20474102,Bank Of America,"0606SP000193",Supplementary Process,Disposed (Statistical Purposes),20060418,20060606
20475395,Bank Of America,"0702SP000240",Supplementary Process,Disposed (Statistical Purposes),20070430,20070914
20482927,Bank Of America,"0548SC000502",Small Claims,Disposed (Statistical Purposes),20050808,20051207
20503800,Bank Of America,"0807SP001049",Supplementary Process,Disposed (Statistical Purposes),20081021,20081222
20530927,Bank Of America,"0606CV000336",Civil,Disposed (Statistical Purposes),20060426,20060616
20533852,Bank Of America,"0802SP000416",Supplementary Process,Disposed (Statistical Purposes),20080807,20081020
20534770,Bank Of America,"0802SP000417",Supplementary Process,Disposed (Statistical Purposes),20080807,20081020
20537285,Bank Of America,"0807SP001086",Supplementary Process,Disposed (Statistical Purposes),20081029,20090108
20540048,Bank Of America,"0802SP000415",Supplementary Process,Disposed (Statistical Purposes),20080807,20081020
20553501,Bank Of America,"0807SP001081",Supplementary Process,Disposed (Statistical Purposes),20081027,20090410
20559303,Bank Of America,"0702SP000287",Supplementary Process,Disposed (Statistical Purposes),20070605,20071005
