"post_id","party_name","case_number","case_type","case_status","file_date","status_date"
133992,Eastern Bank,"1485CV00838",Real Property,Closed,20140506,20140619
189802,Eastern Bank,"1373CV00131",Real Property,Closed,20130213,20130506
200024,Eastern Bank,"1236CV001065",Civil,Disposed (Statistical Purposes),20121120,20140512
320086,Eastern Bank,"1373CV00169",Real Property,Closed,20130222,20130418
451472,Eastern Bank,"1013SC001183",Small Claims,Disposed (Statistical Purposes),20100713,20100830
459934,Eastern Bank,"1013SC001184",Small Claims,Disposed (Statistical Purposes),20100713,20100830
462531,Eastern Bank,"1013SC001185",Small Claims,Disposed (Statistical Purposes),20100713,20101130
464154,Eastern Bank,"1013SC001186",Small Claims,Disposed (Statistical Purposes),20100713,20100830
466524,Eastern Bank,"1013SC001187",Small Claims,Disposed (Statistical Purposes),20100713,20100830
468712,Eastern Bank,"1013SC001188",Small Claims,Disposed (Statistical Purposes),20100713,20100830
471257,Eastern Bank,"1013SC001189",Small Claims,Disposed (Statistical Purposes),20100713,20100830
473065,Eastern Bank,"1013SC001190",Small Claims,Disposed (Statistical Purposes),20100713,20100901
475093,Eastern Bank,"1013SC001191",Small Claims,Disposed (Statistical Purposes),20100713,20100830
478736,Eastern Bank,"1013SC001192",Small Claims,Disposed (Statistical Purposes),20100713,20100830
675736,Eastern Bank,"1013SC001232",Small Claims,Disposed (Statistical Purposes),20100716,20100913
676955,Eastern Bank,"1013SC001233",Small Claims,Disposed (Statistical Purposes),20100716,20100830
678690,Eastern Bank,"1013SC001234",Small Claims,Disposed (Statistical Purposes),20100716,20100913
680079,Eastern Bank,"1013SC001235",Small Claims,Disposed (Statistical Purposes),20100716,20100913
681722,Eastern Bank,"1013SC001236",Small Claims,Disposed (Statistical Purposes),20100716,20100913
683808,Eastern Bank,"1013SC001237",Small Claims,Disposed (Statistical Purposes),20100716,20100913
685928,Eastern Bank,"1013SC001238",Small Claims,Disposed (Statistical Purposes),20100716,20100913
687134,Eastern Bank,"1013SC001239",Small Claims,Disposed (Statistical Purposes),20100716,20100913
688527,Eastern Bank,"1013SC001240",Small Claims,Disposed (Statistical Purposes),20100716,20100913
691920,Eastern Bank,"1013SC001241",Small Claims,Disposed (Statistical Purposes),20100716,20100913
734846,Eastern Bank,"1036SC000138",Small Claims,Disposed (Statistical Purposes),20100202,20100304
735277,Eastern Bank,"1036SC000139",Small Claims,Disposed (Statistical Purposes),20100202,20100302
735880,Eastern Bank,"1036SC000140",Small Claims,Disposed (Statistical Purposes),20100202,20100304
736501,Eastern Bank,"1036SC000141",Small Claims,Disposed (Statistical Purposes),20100202,20100304
737123,Eastern Bank,"1036SC000142",Small Claims,Disposed (Statistical Purposes),20100202,20100304
737694,Eastern Bank,"1036SC000143",Small Claims,Disposed (Statistical Purposes),20100202,20100304
737885,Eastern Bank,"1036SC000144",Small Claims,Disposed (Statistical Purposes),20100202,20100304
738444,Eastern Bank,"1036SC000145",Small Claims,Disposed (Statistical Purposes),20100202,20100304
739106,Eastern Bank,"1036SC000146",Small Claims,Disposed (Statistical Purposes),20100202,20100304
739682,Eastern Bank,"1036SC000147",Small Claims,Disposed (Statistical Purposes),20100202,20100304
1086736,Eastern Bank,"1013SC001290",Small Claims,Disposed (Statistical Purposes),20100723,20100913
1088715,Eastern Bank,"1013SC001291",Small Claims,Disposed (Statistical Purposes),20100723,20100913
1090659,Eastern Bank,"1013SC001292",Small Claims,Disposed (Statistical Purposes),20100723,20100913
1092472,Eastern Bank,"1013SC001293",Small Claims,Disposed (Statistical Purposes),20100723,20100913
1095141,Eastern Bank,"1013SC001294",Small Claims,Disposed (Statistical Purposes),20100723,20100913
1096629,Eastern Bank,"1013SC001295",Small Claims,Disposed (Statistical Purposes),20100723,20100913
1098766,Eastern Bank,"1013SC001296",Small Claims,Disposed (Statistical Purposes),20100723,20100913
1100829,Eastern Bank,"1013SC001297",Small Claims,Disposed (Statistical Purposes),20100723,20100913
1102781,Eastern Bank,"1013SC001298",Small Claims,Disposed (Statistical Purposes),20100723,20100913
1104433,Eastern Bank,"1013SC001299",Small Claims,Disposed (Statistical Purposes),20100723,20100913
1167037,Eastern Bank,"1013CV001532",Civil,Disposed (Statistical Purposes),20100727,20111107
1198841,Eastern Bank,"1113SC000040",Small Claims,Disposed (Statistical Purposes),20110110,20110311
1199391,Eastern Bank,"1113SC000041",Small Claims,Disposed (Statistical Purposes),20110110,20110302
1199947,Eastern Bank,"1113SC000042",Small Claims,Disposed (Statistical Purposes),20110110,20110311
1200471,Eastern Bank,"1113SC000043",Small Claims,Disposed (Statistical Purposes),20110110,20110311
1201092,Eastern Bank,"1113SC000044",Small Claims,Disposed (Statistical Purposes),20110110,20110311
1202089,Eastern Bank,"1113SC000045",Small Claims,Disposed (Statistical Purposes),20110110,20110311
1202376,Eastern Bank,"1113SC000046",Small Claims,Disposed (Statistical Purposes),20110110,20110311
1202646,Eastern Bank,"1113SC000047",Small Claims,Disposed (Statistical Purposes),20110110,20110311
1202879,Eastern Bank,"1113SC000048",Small Claims,Disposed (Statistical Purposes),20110110,20110311
1203561,Eastern Bank,"1113SC000049",Small Claims,Disposed (Statistical Purposes),20110110,20110311
1247141,Eastern Bank,"1355CV000551",Civil,Disposed (Statistical Purposes),20131211,20141007
1255606,Eastern Bank,"1259CV001229",Civil,Disposed (Statistical Purposes),20121030,20130115
1270438,Eastern Bank,"1113SC000087",Small Claims,Disposed (Statistical Purposes),20110118,20110314
1271076,Eastern Bank,"1113SC000088",Small Claims,Disposed (Statistical Purposes),20110118,20110311
1271476,Eastern Bank,"1113SC000089",Small Claims,Disposed (Statistical Purposes),20110118,20110311
