"post_id","party_name","case_number","case_type","case_status","file_date","status_date"
59202117,Manufacturers And Traders Trust Company,"16 SM 004138",Servicemembers,Open,20160421,20160421
59243330,Manufacturers And Traders Trust Company,"16 SM 004206",Servicemembers,Open,20160425,20160425
60250711,Manufacturers And Traders Trust Company,"09 SBQ 10790 01 - 001",Subsequent,Closed,20090121,20090521
60299584,Manufacturers And Traders Trust Company,"05 MISC 307070",Servicemembers,Closed,20050228,20050405
63524349,Manufacturers And Traders Trust Company,"05 MISC 309127",Servicemembers,Closed,20050503,20050610
66625344,Manufacturers And Traders Trust Company,"16 SM 006542",Servicemembers,Open,20160629,20160629
76058864,Manufacturers And Traders Trust Company,"06 MISC 328142",Servicemembers,Closed,20060817,20061205
44485335,"Manufacturers and Traders Trust Company,","08 MISC 382236",Servicemembers,Closed,20080725,20081125
60804224,"Manufacturers and Traders Trust Company,","13 MISC 477134",Servicemembers,Closed,20130228,20131113
66152296,"Manufacturers and Traders Trust Company,","16 SM 007141",Servicemembers,Open,20160715,20160715
77186414,"Manufacturers and Traders Trust Company,","16 SM 007425",Servicemembers,Open,20160726,20160726
52275676,"Manufacturers and Traders Trust Company, as","06 MISC 328593",Servicemembers,Closed,20060824,20090917
53268382,"Manufacturers and Traders Trust Company, as","07 MISC 345141",Servicemembers,Closed,20070411,20150211
56698495,"Manufacturers and Traders Trust Company, as","11 MISC 454649",Servicemembers,Closed,20111013,20120106
59745340,"Manufacturers and Traders Trust Company, as","05 MISC 314150",Servicemembers,Closed,20051004,20081210
59776327,"Manufacturers and Traders Trust Company, as","12 MISC 459390",Servicemembers,Open,20120210,20120210
60391328,"Manufacturers and Traders Trust Company, as","07 MISC 348245",Servicemembers,Closed,20070524,20150211
61091780,"Manufacturers and Traders Trust Company, as","10 MISC 433369",Servicemembers,Closed,20100701,20101026
61207649,"Manufacturers and Traders Trust Company, as","06 MISC 324664",Servicemembers,Closed,20060608,20090625
61577601,"Manufacturers and Traders Trust Company, as","07 MISC 351884",Servicemembers,Closed,20070711,20070925
61913440,"Manufacturers and Traders Trust Company, as","05 MISC 315293",Servicemembers,Closed,20051102,20081210
62043648,"Manufacturers and Traders Trust Company, as","07 MISC 339991",Servicemembers,Closed,20070202,20070403
62083201,"Manufacturers and Traders Trust Company, as","08 MISC 386087",Servicemembers,Closed,20081007,20090707
62131032,"Manufacturers and Traders Trust Company, as","07 MISC 339772",Servicemembers,Closed,20070130,20070403
62322360,"Manufacturers and Traders Trust Company, as","05 MISC 317231",Servicemembers,Closed,20051228,20081210
54008199,"Manufacturers and Traders Trust Company,as trustee","05 MISC 310922",Servicemembers,Closed,20050630,20050927
54028984,"Manufacturers and Traders Trust Company, etc.","05 MISC 309856",Servicemembers,Closed,20050527,20071231
60724418,"Manufacturers and Traders Trust Company, etc.","05 MISC 308344",Servicemembers,Closed,20050407,20050628
56213066,Manufacturers and Traders Trust Company etc,"05 MISC 306649",Servicemembers,Closed,20050217,20050715
58371716,Manufacturers and Traders Trust Company a/k/a M&T Bank,"15 SM 004419",Servicemembers,Open,20150529,20150529
59202117,Manufacturers and Traders Trust Company a/k/a M&T Bank,"16 SM 004138",Servicemembers,Open,20160421,20160421
60904247,Manufacturers and Traders Trust Company as trustee,"07 MISC 363429",Servicemembers,Closed,20071108,20150211
61636282,Manufacturers and Traders Trust Company as trustee,"07 MISC 367226",Servicemembers,Closed,20071219,20150211
84125418,"Manufacturers and Traders Trust Company, a/k/a M&T Bank, successor by merger with Hudson City Savings Bank","19 SM 005425",Servicemembers,Closed,20191108,20200106
