"post_id","party_name","case_number","case_type","case_status","file_date","status_date"
7258,Rockland Trust Company,"1107CV000369",Civil,Disposed (Statistical Purposes),20110422,20120216
92526,Rockland Trust Company,"1415CV000654",Civil,Closed,20140416,20140829
112571,Rockland Trust Company,"1031CV000130",Civil,Disposed (Statistical Purposes),20100126,20140529
116698,Rockland Trust Company,"1031CV000131",Civil,Disposed (Statistical Purposes),20100126,20110625
231188,Rockland Trust Company,"1259CV001135",Civil,Disposed (Statistical Purposes),20121009,20140311
280751,Rockland Trust Company,"1159CV001467",Civil,Disposed (Statistical Purposes),20111018,20120210
370797,Rockland Trust Company,"1060CV000477",Civil,Disposed (Statistical Purposes),20100519,20100729
423022,Rockland Trust Company,"1420CV000117",Civil,Disposed (Statistical Purposes),20140410,20140815
478399,Rockland Trust Company,"1160CV000801",Civil,Disposed (Statistical Purposes),20111101,20120723
488640,Rockland Trust Company,"1034CV000017",Civil,Disposed (Statistical Purposes),20100106,20100507
609908,Rockland Trust Company,"1260CV000630",Civil,Disposed (Statistical Purposes),20121022,20130219
681535,Rockland Trust Company,"1015CV000464",Civil,Disposed (Statistical Purposes),20100219,20100507
682893,Rockland Trust Company,"1015CV000465",Civil,Disposed (Statistical Purposes),20100219,20100708
704421,Rockland Trust Company,"1160SC000205",Small Claims,Disposed (Statistical Purposes),20110217,20110324
708154,Rockland Trust Company,"1160SC000206",Small Claims,Disposed (Statistical Purposes),20110217,20110324
775263,Rockland Trust Company,"1260SC001277",Small Claims,Disposed (Statistical Purposes),20121106,20121205
916852,Rockland Trust Company,"1160SC001367",Small Claims,Disposed (Statistical Purposes),20111202,20120413
926105,Rockland Trust Company,"1215CV001636",Civil,Disposed (Statistical Purposes),20121005,20130108
1026007,Rockland Trust Company,"1015CV000587",Civil,Disposed (Statistical Purposes),20100302,20100708
1189684,Rockland Trust Company,"1015CV000684",Civil,Disposed (Statistical Purposes),20100311,20101025
1194843,Rockland Trust Company,"1415CV000708",Civil,Disposed (Statistical Purposes),20140428,20150406
1195774,Rockland Trust Company,"1415CV000709",Civil,Disposed (Statistical Purposes),20140428,20140916
1223193,Rockland Trust Company,"1431CV000607",Civil,Disposed (Statistical Purposes),20140717,20141023
1230183,Rockland Trust Company,"1355CV000546",Civil,Disposed (Statistical Purposes),20131209,20140204
1251916,Rockland Trust Company,"1158CV000897",Civil,Disposed (Statistical Purposes),20111216,20111229
1267231,Rockland Trust Company,"1431SC001296",Small Claims,Disposed (Statistical Purposes),20140721,20141007
1278840,Rockland Trust Company,"1431CV000335",Civil,Disposed (Statistical Purposes),20140410,20140709
1312409,Rockland Trust Company,"1257CV000306",Civil,Disposed (Statistical Purposes),20120517,20121011
1343617,Rockland Trust Company,"1125SP002052",Supplementary Process,Disposed (Statistical Purposes),20110921,20121228
